"congno" "sticpsr" "cd" "stalpha" "occup" "score1" "score2" "year" "stgj" "po" "dv" "dvp" "redist" "i2" "demqa" "i1" "demqal" "nstate" "dpvote" "normvote" "dvfix" "dvpfix"
"64" 80 44 9 "GEORGIA" 0 0.038 0.528 48 10 0 NA NA 0 1 1 1 1 "Georgia" NA NA NA NA
"65" 80 44 10 "GEORGIA" 0 -0.184 0.332 48 10 0 NA NA 0 1 1 1 1 "Georgia" NA NA NA NA
"66" 80 63 1 "IDAHO" 0 0.36 -0.098 48 12 1 0.531 0.495 0 -1 0 1 0 "Idaho" NA NA 0.559 0.475
"67" 80 63 2 "IDAHO" 0 0.516 -0.076 48 12 0 0.489 0.393 0 -1 -1 0 -1 "Idaho" NA NA 0.517 0.393
"68" 80 21 1 "ILLINOI" 0 -0.651 -0.223 48 13 1 0.696 0.568 1 1 0 1 0 "Illinois" NA NA 0.668 0.548
"69" 80 21 2 "ILLINOI" 0 0.555 0.008 48 13 1 0.518 0.487 1 -1 0 1 1 "Illinois" NA NA 0.546 0.467
"70" 80 21 3 "ILLINOI" 0 0.533 -0.046 48 13 0 0.529 0.428 1 -1 -1 1 0 "Illinois" NA NA 0.557 0.408
"71" 80 21 4 "ILLINOI" 0 -0.428 -0.237 48 13 0 0.521 NA 1 0 NA 1 1 "Illinois" NA NA 0.521 NA
"72" 80 21 5 "ILLINOI" 0 -0.467 -0.196 48 13 0 0.725 0.707 1 1 1 1 1 "Illinois" NA NA 0.697 0.687
"73" 80 21 6 "ILLINOI" 0 -0.342 -0.268 48 13 0 0.705 0.52 1 1 1 1 1 "Illinois" NA NA 0.677 0.5
"74" 80 21 7 "ILLINOI" 0 0.505 -0.095 48 13 0 0.737 0.716 1 1 1 1 1 "Illinois" NA NA 0.709 0.696
"75" 80 21 8 "ILLINOI" 0 -0.492 -0.302 48 13 1 0.65 0.773 1 1 0 1 1 "Illinois" NA NA 0.622 0.753
"76" 80 21 9 "ILLINOI" 0 0.452 -0.031 48 13 0 0.554 0.487 1 -1 -1 1 1 "Illinois" NA NA 0.582 0.467
"77" 80 21 10 "ILLINOI" 0 0.567 -0.067 48 13 0 0.419 NA 1 0 -1 -1 -1 "Illinois" NA NA 0.419 NA
"78" 80 21 11 "ILLINOI" 0 0.465 -0.061 48 13 0 0.508 NA 1 0 NA -1 -1 "Illinois" NA NA 0.508 NA
"79" 80 21 12 "ILLINOI" 0 0.597 0.114 48 13 0 0.473 NA 1 0 -1 -1 -1 "Illinois" NA NA 0.473 NA
"80" 80 21 13 "ILLINOI" 0 0.469 -0.008 48 13 0 0.32 0.353 1 -1 -1 -1 -1 "Illinois" NA NA 0.348 0.373
"81" 80 21 14 "ILLINOI" 0 0.639 0.126 48 13 0 0.317 0.251 1 -1 -1 -1 -1 "Illinois" NA NA 0.345 0.271
"82" 80 21 15 "ILLINOI" 0 0.483 -0.093 48 13 0 0.436 0.309 1 -1 -1 -1 0 "Illinois" NA NA 0.464 0.329
"83" 80 21 16 "ILLINOI" 0 0.334 -0.218 48 13 0 0.415 0.222 1 -1 -1 -1 -1 "Illinois" NA NA 0.443 0.242
"84" 80 21 17 "ILLINOI" 0 0.396 -0.054 48 13 0 0.372 0.288 1 -1 -1 -1 -1 "Illinois" NA NA 0.4 0.308
"85" 80 21 18 "ILLINOI" 0 0.511 -0.025 48 13 0 0.479 NA 1 0 -1 0 1 "Illinois" NA NA 0.479 NA
"86" 80 21 19 "ILLINOI" 0 0.38 -0.038 48 13 1 0.46 0.357 1 -1 0 -1 -1 "Illinois" NA NA 0.488 0.377
"87" 80 21 20 "ILLINOI" 0 0.382 0.049 48 13 1 0.469 0.412 1 -1 0 -1 -1 "Illinois" NA NA 0.497 0.432
"88" 80 21 21 "ILLINOI" 0 0.344 -0.15 48 13 0 0.531 NA 1 0 NA -1 -1 "Illinois" NA NA 0.531 NA
"89" 80 21 22 "ILLINOI" 0 -0.567 -0.272 48 13 0 0.468 0.375 1 -1 -1 1 0 "Illinois" NA NA 0.496 0.355
"90" 80 21 23 "ILLINOI" 0 0.525 0.047 48 13 0 0.482 0.349 1 -1 -1 -1 -1 "Illinois" NA NA 0.51 0.369
"91" 80 21 24 "ILLINOI" 0 0.53 0.046 48 13 1 0.494 0.451 1 -1 0 -1 0 "Illinois" NA NA 0.522 0.471
"92" 80 21 25 "ILLINOI" 0 0.487 -0.106 48 13 0 0.695 0.507 1 1 1 -1 -1 "Illinois" NA NA 0.667 0.527
"93" 80 22 1 "INDIANA" 0 -0.496 -0.299 48 14 0 0.611 0.526 0 1 1 1 0 "Indiana" NA NA 0.583 0.506
"94" 80 22 2 "INDIANA" 0 0.385 -0.1 48 14 1 0.444 0.381 0 -1 0 -1 -1 "Indiana" NA NA 0.472 0.401
"95" 80 22 3 "INDIANA" 0 0.475 -0.112 48 14 1 0.522 0.437 0 -1 0 -1 0 "Indiana" NA NA 0.55 0.457
"96" 80 22 4 "INDIANA" 0 0.512 -0.016 48 14 0 0.513 0.399 0 -1 -1 -1 -1 "Indiana" NA NA 0.541 0.419
"97" 80 22 5 "INDIANA" 0 0.586 0.007 48 14 1 0.526 0.435 0 -1 0 -1 -1 "Indiana" NA NA 0.554 0.455
"98" 80 22 6 "INDIANA" 0 0.484 -0.134 48 14 0 0.498 0.421 0 0 1 -1 -1 "Indiana" NA NA 0.498 0.441
"99" 80 22 7 "INDIANA" 0 0.491 0.038 48 14 0 0.542 0.485 0 -1 -1 -1 -1 "Indiana" NA NA 0.57 0.505
"100" 80 22 8 "INDIANA" 0 0.388 -0.214 48 14 1 0.557 0.478 0 -1 0 0 1 "Indiana" NA NA 0.585 0.478
"101" 80 22 9 "INDIANA" 0 0.449 -0.046 48 14 0 0.48 0.437 0 -1 -1 -1 -1 "Indiana" NA NA 0.508 0.457
"102" 80 22 10 "INDIANA" 1 0.515 -0.114 48 14 0 0.469 0.387 0 -1 -1 -1 -1 "Indiana" NA NA 0.497 0.407
"103" 80 22 11 "INDIANA" 0 -0.095 -0.298 48 14 0 0.511 0.514 0 0 -1 1 0 "Indiana" NA NA 0.511 0.494
"104" 80 31 1 "IOWA" 0 0.387 0.057 48 15 0 0.461 0.385 0 -1 -1 -1 -1 "Iowa" NA NA 0.489 0.405
"105" 80 31 2 "IOWA" 0 0.342 -0.004 48 15 1 0.461 0.409 0 -1 0 -1 -1 "Iowa" NA NA 0.489 0.429
"106" 80 31 3 "IOWA" 0 0.5 0.149 48 15 0 0.415 0.38 0 0 NA -1 -1 "Iowa" NA NA 0.415 0.4
"107" 80 31 4 "IOWA" 0 0.347 -0.02 48 15 1 0.483 0.416 0 -1 0 -1 0 "Iowa" NA NA 0.511 0.436
"108" 80 31 5 "IOWA" 0 0.282 -0.044 48 15 1 0.488 0.406 0 -1 0 -1 0 "Iowa" NA NA 0.516 0.426
"109" 80 31 6 "IOWA" 0 0.354 0.034 48 15 1 0.442 0.366 0 -1 0 -1 0 "Iowa" NA NA 0.47 0.386
"110" 80 31 7 "IOWA" 0 0.48 0.124 48 15 1 0.431 0.37 0 -1 0 -1 -1 "Iowa" NA NA 0.459 0.39
"111" 80 31 8 "IOWA" 0 0.345 0.031 48 15 1 0.446 0.314 0 -1 0 -1 -1 "Iowa" NA NA 0.474 0.334
"112" 80 32 1 "KANSAS" 0 0.322 -0.116 48 16 0 0.395 0.357 0 -1 -1 -1 -1 "Kansas" NA NA 0.423 0.377
"113" 80 32 2 "KANSAS" 0 0.567 0.002 48 16 0 0.481 0.412 0 -1 -1 -1 -1 "Kansas" NA NA 0.509 0.432
"114" 80 32 3 "KANSAS" 0 0.454 0.019 48 16 0 0.45 0.447 0 -1 -1 0 1 "Kansas" NA NA 0.478 0.447
"115" 80 32 4 "KANSAS" 0 0.409 -0.014 48 16 0 0.444 0.439 0 -1 -1 -1 -1 "Kansas" NA NA 0.472 0.459
"116" 80 32 5 "KANSAS" 0 0.271 0.005 48 16 0 0.35 0.374 0 -1 -1 -1 -1 "Kansas" NA NA 0.378 0.394
"117" 80 32 6 "KANSAS" 0 0.591 0.282 48 16 0 0.424 0.395 0 -1 -1 0 NA "Kansas" NA NA 0.452 0.395
"118" 80 51 1 "KENTUCK" 0 -0.239 0.303 48 17 0 NA 0.667 0 1 1 1 1 "Kentucky" NA NA NA 0.647
"119" 80 51 2 "KENTUCK" 1 -0.237 0.002 48 17 0 0.634 0.566 0 0 0 1 0 "Kentucky" NA NA 0.634 0.546
"120" 80 51 3 "KENTUCK" 0 0.105 -0.208 48 17 0 0.466 0.419 0 -1 -1 1 1 "Kentucky" NA NA 0.494 0.399
"121" 80 51 4 "KENTUCK" 0 -0.226 0.201 48 17 0 0.595 0.53 0 1 1 1 0 "Kentucky" NA NA 0.567 0.51
"122" 80 51 5 "KENTUCK" 0 -0.353 0.014 48 17 1 0.662 0.512 0 1 0 1 1 "Kentucky" NA NA 0.634 0.492
"123" 80 51 6 "KENTUCK" 0 -0.103 0.25 48 17 0 0.607 0.55 0 0 -1 1 1 "Kentucky" NA NA 0.607 0.53
"124" 80 51 7 "KENTUCK" 0 0.092 -0.233 48 17 1 0.605 0.406 0 -1 0 1 1 "Kentucky" NA NA 0.633 0.386
"125" 80 51 8 "KENTUCK" 0 -0.315 0.146 48 17 0 0.605 0.526 0 1 1 1 1 "Kentucky" NA NA 0.577 0.506
"126" 80 51 9 "KENTUCK" 1 0.529 -0.162 48 17 0 NA NA 0 0 -1 -1 -1 "Kentucky" NA NA NA NA
"127" 80 45 1 "LOUISIA" 0 -0.067 0.255 48 18 0 NA 0.918 0 1 1 1 1 "Louisian" NA NA NA 0.898
"128" 80 45 2 "LOUISIA" 0 -0.206 0.21 48 18 0 NA 0.907 0 1 1 0 -1 "Louisian" NA NA NA 0.907
"129" 80 45 3 "LOUISIA" 0 0.053 0.289 48 18 0 0.664 NA 0 0 NA 1 1 "Louisian" NA NA 0.664 NA
"130" 80 45 4 "LOUISIA" 0 -0.124 0.288 48 18 0 NA NA 0 1 1 1 1 "Louisian" NA NA NA NA
"131" 80 45 5 "LOUISIA" 0 0.072 0.524 48 18 0 NA NA 0 1 1 0 NA "Louisian" NA NA NA NA
"132" 80 45 6 "LOUISIA" 0 -0.151 0.184 48 18 0 NA NA 0 1 1 1 1 "Louisian" NA NA NA NA
"133" 80 45 7 "LOUISIA" 0 -0.012 0.29 48 18 0 NA NA 0 1 1 1 1 "Louisian" NA NA NA NA
"134" 80 45 8 "LOUISIA" 0 -0.069 0.317 48 18 0 NA NA 0 1 1 1 1 "Louisian" NA NA NA NA
"135" 80 2 1 "MAINE" 0 0.244 -0.134 48 19 0 0.375 0.404 0 -1 -1 -1 -1 "Maine" NA NA 0.403 0.424
"136" 80 2 2 "MAINE" 0 0.115 -0.466 48 19 0 0.328 0.393 0 0 -1 -1 -1 "Maine" NA NA 0.328 0.413
"137" 80 2 3 "MAINE" 0 0.436 0.029 48 19 0 0.291 0.271 0 -1 -1 -1 -1 "Maine" NA NA 0.319 0.291
"138" 80 52 1 "MARYLAN" 0 0.45 -0.075 48 20 0 0.476 0.491 0 -1 -1 1 1 "Maryland" NA NA 0.504 0.471
"139" 80 52 2 "MARYLAN" 0 -0.001 0.055 48 20 0 0.565 0.524 0 0 0 0 0 "Maryland" NA NA 0.565 0.524
"140" 80 52 3 "MARYLAN" 1 -0.201 -0.021 48 20 1 0.71 0.639 0 1 0 1 1 "Maryland" NA NA 0.682 0.619
"141" 80 52 4 "MARYLAN" 0 -0.069 -0.083 48 20 0 0.646 0.572 0 1 1 1 1 "Maryland" NA NA 0.618 0.552
"142" 80 52 5 "MARYLAN" 0 -0.195 -0.034 48 20 0 0.597 0.582 0 1 1 1 1 "Maryland" NA NA 0.569 0.562
"143" 80 52 6 "MARYLAN" 0 0.331 -0.279 48 20 0 0.447 0.419 0 -1 -1 -1 -1 "Maryland" NA NA 0.475 0.439
"144" 80 3 1 "MASSACH" 0 0.133 -0.369 48 21 0 0.428 0.439 0 -1 -1 -1 -1 "Massachu" NA NA 0.456 0.459
"145" 80 3 2 "MASSACH" 0 0.211 -0.273 48 21 0 0.549 0.486 0 -1 -1 -1 -1 "Massachu" NA NA 0.577 0.506
"146" 80 3 3 "MASSACH" 0 -0.122 -0.144 48 21 0 0.739 0.622 0 1 1 1 1 "Massachu" NA NA 0.711 0.602
"147" 80 3 4 "MASSACH" 0 -0.23 -0.213 48 21 0 0.592 0.505 0 1 1 -1 0 "Massachu" NA NA 0.564 0.525
"148" 80 3 5 "MASSACH" 0 0.213 -0.234 48 21 0 NA 0.281 0 -1 -1 -1 -1 "Massachu" NA NA NA 0.301
"149" 80 3 6 "MASSACH" 0 0.301 -0.196 48 21 0 NA 0.298 0 -1 -1 -1 -1 "Massachu" NA NA NA 0.318
"150" 80 3 7 "MASSACH" 0 -0.295 -0.207 48 21 0 0.792 0.617 0 1 1 1 0 "Massachu" NA NA 0.764 0.597
"151" 80 3 8 "MASSACH" 0 0.443 -0.217 48 21 0 0.49 0.365 0 -1 -1 -1 -1 "Massachu" NA NA 0.518 0.385
"152" 80 3 9 "MASSACH" 1 0.369 -0.045 48 21 0 0.433 0.383 0 -1 -1 -1 -1 "Massachu" NA NA 0.461 0.403
"153" 80 3 10 "MASSACH" 0 0.243 -0.314 48 21 0 0.305 0.36 0 -1 -1 -1 -1 "Massachu" NA NA 0.333 0.38
"154" 80 3 11 "MASSACH" 0 -0.376 -0.101 48 21 0 NA 0.719 0 1 1 0 NA "Massachu" NA NA NA 0.719
"155" 80 3 12 "MASSACH" 0 -0.376 -0.088 48 21 0 NA NA 0 1 1 1 1 "Massachu" NA NA NA NA
"156" 80 3 13 "MASSACH" 0 0.337 -0.302 48 21 0 0.434 0.325 0 -1 -1 -1 -1 "Massachu" NA NA 0.462 0.345
"157" 80 3 14 "MASSACH" 0 0 0 48 21 0 0.386 0.364 0 -1 -1 -1 -1 "Massachu" NA NA 0.414 0.384
"158" 80 23 1 "MICHIGA" 0 -0.469 -0.379 48 22 1 0.838 0.666 0 1 0 1 0 "Michigan" NA NA 0.81 0.646
"159" 80 23 2 "MICHIGA" 0 0.357 -0.115 48 22 0 0.435 0.282 0 -1 -1 -1 -1 "Michigan" NA NA 0.463 0.302
"160" 80 23 3 "MICHIGA" 0 0.54 0.063 48 22 0 0.394 0.303 0 -1 -1 -1 -1 "Michigan" NA NA 0.422 0.323
"161" 80 23 4 "MICHIGA" 0 0.645 0.184 48 22 0 0.34 0.268 0 -1 -1 -1 -1 "Michigan" NA NA 0.368 0.288
"162" 80 23 5 "MICHIGA" 0 0.423 -0.101 48 22 0 0.388 0.284 0 0 NA -1 -1 "Michigan" NA NA 0.388 0.304
"163" 80 23 6 "MICHIGA" 0 0.363 -0.126 48 22 0 0.497 0.423 0 -1 -1 -1 -1 "Michigan" NA NA 0.525 0.443
"164" 80 23 7 "MICHIGA" 0 0.422 -0.142 48 22 0 0.406 0.252 0 -1 -1 -1 -1 "Michigan" NA NA 0.434 0.272
"165" 80 23 8 "MICHIGA" 0 0.489 0.125 48 22 0 0.377 0.267 0 -1 -1 -1 -1 "Michigan" NA NA 0.405 0.287
"166" 80 23 9 "MICHIGA" 0 0.231 -0.338 48 22 0 0.409 0.278 0 -1 -1 -1 -1 "Michigan" NA NA 0.437 0.298
"167" 80 23 10 "MICHIGA" 0 0.605 0.004 48 22 0 0.36 0.283 0 -1 -1 -1 -1 "Michigan" NA NA 0.388 0.303
"168" 80 23 11 "MICHIGA" 1 0.651 0.122 48 22 0 0.359 0.34 0 0 1 -1 -1 "Michigan" NA NA 0.359 0.36
"169" 80 23 12 "MICHIGA" 0 0.252 -0.047 48 22 0 0.431 0.454 0 -1 -1 1 0 "Michigan" NA NA 0.459 0.434
"170" 80 23 13 "MICHIGA" 0 0.345 -0.214 48 22 1 0.628 0.472 0 -1 0 1 1 "Michigan" NA NA 0.656 0.452
"171" 80 23 14 "MICHIGA" 0 0.521 0.053 48 22 1 0.572 0.467 0 -1 0 1 1 "Michigan" NA NA 0.6 0.447
"172" 80 23 15 "MICHIGA" 0 -0.508 -0.248 48 22 1 0.653 0.523 0 1 0 1 1 "Michigan" NA NA 0.625 0.503
"173" 80 23 16 "MICHIGA" 0 -0.491 -0.353 48 22 0 0.629 0.529 0 1 1 1 0 "Michigan" NA NA 0.601 0.509
"174" 80 23 17 "MICHIGA" 0 0.441 -0.049 48 22 0 0.47 0.349 0 -1 -1 -1 -1 "Michigan" NA NA 0.498 0.369
"175" 80 33 1 "MINNESO" 0 0.405 0.048 48 23 0 0.386 0.316 0 -1 -1 -1 -1 "Minnesot" NA NA 0.414 0.336
"176" 80 33 2 "MINNESO" 0 0.431 0.146 48 23 0 0.361 0.24 0 -1 -1 -1 -1 "Minnesot" NA NA 0.389 0.26
"177" 80 33 3 "MINNESO" 0 0.2 -0.252 48 23 1 0.546 0.485 0 -1 0 0 0 "Minnesot" NA NA 0.574 0.485
"178" 80 33 4 "MINNESO" 0 0.186 -0.435 48 23 0 0.594 0.479 0 -1 -1 1 0 "Minnesot" NA NA 0.622 0.459
"179" 80 33 5 "MINNESO" 0 0.148 -0.235 48 23 0 0.46 0.417 0 -1 -1 -1 -1 "Minnesot" NA NA 0.488 0.437
"180" 80 33 6 "MINNESO" 0 0.482 0.099 48 23 0 0.517 0.426 0 -1 -1 -1 -1 "Minnesot" NA NA 0.545 0.446
"181" 80 33 7 "MINNESO" 0 0.348 0.073 48 23 0 0.475 0.346 0 -1 -1 -1 0 "Minnesot" NA NA 0.503 0.366
"182" 80 33 8 "MINNESO" 0 -0.585 -0.172 48 23 1 0.666 0.577 0 1 0 -1 0 "Minnesot" NA NA 0.638 0.597
"183" 80 33 9 "MINNESO" 0 0.159 -0.057 48 23 0 0.454 0.361 0 -1 -1 -1 -1 "Minnesot" NA NA 0.482 0.381
"184" 80 46 1 "MISSISS" 0 0.121 0.469 48 24 0 NA NA 0 1 1 1 1 "Mississi" NA NA NA NA
"185" 80 46 2 "MISSISS" 0 0.223 0.656 48 24 0 NA NA 0 1 1 1 1 "Mississi" NA NA NA NA
"186" 80 46 3 "MISSISS" 0 -0.042 0.434 48 24 0 NA NA 0 1 1 1 1 "Mississi" NA NA NA NA
"187" 80 46 4 "MISSISS" 0 0.042 0.612 48 24 0 NA NA 0 1 1 1 1 "Mississi" NA NA NA NA
"188" 80 46 5 "MISSISS" 0 0.016 0.549 48 24 0 NA NA 0 1 1 1 1 "Mississi" NA NA NA NA
"189" 80 46 6 "MISSISS" 0 0.012 0.377 48 24 0 NA NA 0 1 1 1 1 "Mississi" NA NA NA NA
"190" 80 46 7 "MISSISS" 0 0.054 0.533 48 24 0 NA NA 0 1 1 0 1 "Mississi" NA NA NA NA
