    STATE$       STATE     DISTRICT      DVOTE92      RVOTE92      OTHER92       DWIN92     CONTST94      DVOTE94      RVOTE94      OTHER94    
 Florida                43           13       115741       158836            0            0            0         -9            -9            -9   
 Florida                43           14            0       220324        48156            0            0         -9            -9            -9   
 Florida                43           15       132385       128830            0            1            1       100512       117026            0
 Florida                43           16       101217       157253            0            0            1        88646       122734            0
 Florida                43           17       102732            0            0            1            0         -9            -9            -9   
 Florida                43           18        52095       104715            0            0            0         -9            -9            -9   
 Florida                43           19       177411       103848            0            1            1       147591        75779            0
 Florida                43           20       130946        91573        15340            1            1       114615        72516            0
 Florida                43           21         -9            -9            -9               0            0         -9            -9            -9   
 Florida                43           22        91605       128376        27050            0            1        69215       119690            0
 Florida                43           23        84232        44800        14873            1            0         -9            -9            -9   
 Georgia                44            1        75808       103932            0            0            1        27671        88658            0
 Georgia                44            2        95789        54593            0            1            1        64980        33415            0
 Georgia                44            3        94271       114107            0            0            1        43575        84372            0
 Georgia                44            4       123819       126495            0            0            1        66366        90063            0
 Georgia                44            5       147445        56960            0            1            1        85094        37999            0
 Georgia                44            6       116196       158761            0            0            1        66681       119550            0
 Georgia                44            7       111374        82915            0            1            1        65481        70801            0
 Georgia                44            8       108472        96220            0            1            1        52977        88977            0
 Georgia                44            9       113024        77919            0            1            1        78892        57477            0
 Georgia                44           10       108426        93059            0            1            1        51192        99511            0
 Georgia                44           11       120168        44221            0            1            1        71697        37502            0
 Hawaii                 82            1       129332        41575         6569            1            1        94754        76623         5329
 Hawaii                 82            2       131454        40070         9431            1            1       124431        42891        10074
 Idaho                  63            1       140985        90983        10822            1            1        89824       111768            0
 Idaho                  63            2        81450       139783         8724            0            1        48412       143099            0
 Illinois               21            1       209258        43453            0            1            1       107000        34807            0
 Illinois               21            2       182614        31957        19293            1            0         -9            -9            -9   
 Illinois               21            3       162165        93128            0            1            1        90699        77125            0
 Illinois               21            4        90452        26154            0            1            1        44235        14699            0
 Illinois               21            5       132889        90738         8456            1            1        61152        73340            0
 Illinois               21            6        86891       165009            0            0            1        37017       115286         4524
 Illinois               21            7       182811        35346         7124            1            1        86894        23156            0
 Illinois               21            8        96419       132887         9327            0            1        47539        88084            0
 Illinois               21            9       162942        64760        12001            1            1        92794        47469            0
 Illinois               21           10        85400       155230            0            0            1        38152       114806            0
 Illinois               21           11       135387       107860            0            1            1        62779        96986            0
 Illinois               21           12       168762        68115            0            1            1       101391        52417            0
 Illinois               21           13        82985       179257            0            0            1        45709       124312            0
 Illinois               21           14        75294       155271            0            0            1        33885       109681            0
 Illinois               21           15        97190       142167          229            0            1        50874       108857            0
 Illinois               21           16       113555       142388            0            0            1        48736       117238            0
 Illinois               21           17       156233       103719            0            1            1        95312        79471            0
 Illinois               21           18       156533       114413            0            1            1        78332       119838            0
 Illinois               21           19       187156        83526            0            1            1       115045        81995            0
 Illinois               21           20       154869       119219            0            1            1       108034        88964            0
 Indiana                22            1       147054        64770            0            1            1        67527        52233            0
 Indiana                22            2       130881        90593         7821            1            1        78241        93592            0
 Indiana                22            3       121269        89834            0            1            1        72491        58878            0
 Indiana                22            4       134907        82468            0            1            1        70744        87665            0
 Indiana                22            5       107973       112492            0            0            1        45180       110917         3400
 Indiana                22            6        71952       186499            0            0            1        40244       134471            0
 Indiana                22            7        88005       129189            0            0            1        55856       102140            0
 Indiana                22            8       125244       108054         5099            1            1        84751        93167            0
 Indiana                22            9       160980        70057            0            1            1        90148        83642            0
 Indiana                22           10       117604        64378         1849            1            1        55491        48363            0
 Iowa                   31            1        81600       178042         1667            0            1        69240       109975         3491
 Iowa                   31            2       131570       134536         1757            0            1        86024       110639         1038
 Iowa                   31            3       121063       125931        10181            0            1        78251       110528         2126
 Iowa                   31            4       158610        94045         4938            1            1        97513       110522         2223
 Iowa                   31            5            0       196942         1424            0            1        72525       112908            0
 Kansas                 32            1        83620       194912         6765            0            1        49246       168066            0
 Kansas                 32            2       151019       109801         7986            1            1        70958       135617            0
 Kansas                 32            3       110076       169929        12791            0            1        78207       102107            0
 Kansas                 32            4       143671       117070        17275            1            1        98801       111105            0
 Kentucky               51            1       128524        83088          962            1            1        62225        64659            0
 Kentucky               51            2       126894        79684            0            1            1        60797        90363            0
 Kentucky               51            3       148066       132689            0            1            1        67637        67210        17577
 Kentucky               51            4        86890       139634            0            0            1        33713        96464            0
 Kentucky               51            5        95760       115255            0            0            1        21309        82276            0
 Kentucky               51            6       135613        87816            0            1            1        70082        49030            0
 Louisiana              45            1         -9            -9            -9               0            0         -9            -9            -9   
 Louisiana              45            2         -9            -9            -9               1            0         -9            -9            -9   
 Louisiana              45            3         -9            -9            -9               1            0         -9            -9            -9   
 Louisiana              45            4         -9            -9            -9               1            0         -9            -9            -9   
 Louisiana              45            5        90079       153501            0            0            0         -9            -9            -9   
 Louisiana              45            6         -9            -9            -9               0            0         -9            -9            -9   
 Louisiana              45            7         -9            -9            -9               1            0         -9            -9            -9   
 Maine                   2            1       232696       125236          216            1            1       125467       136560            0
 Maine                   2            2       130824       153022        27526            0            1       108793        96952        33271
 Maryland               52            1       112771       120084            0            0            1        55725       115838            0
 Maryland               52            2        88658       165443            0            0            1        72333       121165            0
 Maryland               52            3       163354        58869            0            1            1       113009        46231            0
 Maryland               52            4       136902        45166            0            1            1        91021        29620            0
 Maryland               52            5       118312        97982         6990            1            1        95550        66765            0
 Maryland               52            6       106224       125564            0            0            1        61031       118297            0
 Maryland               52            7       152689        26304            0            1            1        93170        21879            0
 Maryland               52            8        77042       203377            0            0            1        58476       138010            0
 Mass-9                   3            1       135049       113828        13115            1            0         -9            -9            -9   
 Mass-9                   3            2       131215        76795        39153            1            1       114826        71018         9901
 Mass-9                   3            3       115587       131473        13821            0            1        93704       116704         2382
 Mass-9                   3            4       182633        70665        16467            1            0         -9            -9            -9   
 Mass-9                   3            5       133844        96206        26514            1            1       141144        60628            0
 Mass-9                   3            6       130248       159165          899            0            1       113289       120743         4939
 Mass-9                   3            7       174837        78262        28421            1            1       145966        80629            0
 Mass-9                   3            8       149903            0        30581            1            0         -9            -9            -9   
 Mass-9                   3            9       175550        54291        23721            1            1       143530        60737            0
 Mass-9                   3           10       189342        75887        46391            1            1       171585        78055            0
 Michigan               23            1       144857       117056         6664            1            1       121138        89745         2407
 Michigan               23            2        86265       155577         4840            0            1        46184       146666         1888
 Michigan               23            3        95927       162451         6460            0            1        43485       135819         4772
 Michigan               23            4        87573       157337         6618            0            1        49899       143821         2705
 Michigan               23            5       147618        93098         4270            1            1       126522        61385         5338
 Michigan               23            6        89020       144083            0            0            1        42373       121925         1694
 Michigan               23            7            0       133972        18896            0            1        57393       113721         5534
 Michigan               23            8       135517       131906        17270            1            1        95383       109663         7424
 Michigan               23            9       133956       111798         3763            1            1        97024        89091         3236
 Michigan               23           10       138193       114918         7098            1            1       121516        73671            0
 Michigan               23           11       117725       168940         6413            0            1        69337       155158         2940
 Michigan               23           12       137514       119357         4475            1            1       103420        92625         2860
 Michigan               23           13       127642       105169        13067            1            1        87445        75889         5057
 Michigan               23           14       165496        32036         3339            1            1       129850        26417         2967
 Michigan               23           15       148908        31849         4200            1            1       119328        20039         2486
 Michigan               23           16       156964        75694         8277            1            1       105301        70429         1962
 Minnesota              33            1       206369        72367            0            1            1        93234       115328            0
 Minnesota              33            2       132156       131587        12146            1            1       118077       103233         6615
 Minnesota              33            3       104606       200240         9164            0            1        62193       173190            0
 Minnesota              33            4       159796       101744        15988            1            1       115775        88302         6211
 Minnesota              33            5       174139        77093        25083            1            1       121507        73258            0
 Minnesota              33            6       100016       133564        67140            0            1       113736       113187            0
 Minnesota              33            7       133886       130396            0            1            1       108025       102653            0
 Minnesota              33            8       167104        82823        31221            1            1       153152        79767            0
 Mississippi            46            1       121664        82952            0            1            1        46443        80108            0
 Mississippi            46            2       133361        41248            0            1            1        66224        48508         9356
 Mississippi            46            3       162864        37710            0            1            1        80038        38516            0
 Mississippi            46            4       130927        43705        19912            1            1        81316        37458            0
 Mississippi            46            5       120766        67619         2673            1            1        71720        47530            0
 Missouri               34            1       158693        74482            0            1            1        97191        50426         5664
 Missouri               34            2       148729       157594         6119            0            1        70488       154895         4925
 Missouri               34            3       174000        90006         7828            1            1       117598        70488         5362
 Missouri               34            4       176977        74475            0            1            1       138351        66308            0
 Missouri               34            5       151014        93562        10736            1            1       100059        76807            0
 Missouri               34            6       148887       119637            0            1            1       140074        71619            0
 Missouri               34            7        99762       160303            0            0            1        77040       110397         5802
 Missouri               34            8        86730       147398            0            0            1        49897       129728         6410
 Missouri               34            9       124694       118811        17830            1            1        98401        86883         8848
 Montana                64           98       203711       189570        10454            1            1       167178       145312        31483
 Nebraska               35            1        96309       142713            0            0            1        69946       117014            0
 Nebraska               35            2       119512       113828            0            1            1        89839        91658            0
 Nebraska               35            3        67457       170857            0            0            1        41766       153492            0
 Nevada                 65            1       128278        84217         8993            1            1        72332        73768         6065
 Nevada                 65            2       117199       129575        23687            0            1        65291       141943        16305
 NH                      4            1       108578       135936        11339            0            1        42919        97658         8195
 NH                      4            2       157328        91126         6634            1            1        74098        82919         4268
 NewJersey              12            1       153525        65123         9424            1            1       105196        40301            0
 NewJersey              12            2       132465        98315         6247            1            1        55636       101455            0
 NewJersey              12            3        94012       151368        10418            0            1        53000       112296         4024
 NewJersey              12            4        84514       149095         7616            0            1        48723       107617         2831
 NewJersey              12            5        67579       196198        10594            0            1        41042       139217         7227
 NewJersey              12            6       118266       100949         6878            1            1        89049        55235         3132
 NewJersey              12            7       105761       132174        10147            0            1        61819        93733         2704
 NewJersey              12            8        96742        84674        24412            1            1        67879        69886         2297
 NewJersey              12            9       139188        88179        10822            1            1        99202        57396         2226
 NewJersey              12           10       117287        30160         2185            1            1        72345        20858         2104
 NewJersey              12           11        68871       188165        11400            0            1        50036       127626         1483
 NewJersey              12           12        83035       174216        15506            0            1        56087       124581         2349
 NewJersey              12           13        93670        44529         7515            1            1        67169        23726         3685
 NewMexico              66            1        76600       128426          188            0            1        39791       110255            0
 NewMexico              66            2        73157        94838          175            0            1        45381        89511         6880
 NewMexico              66            3       122850        54569         4798            1            1        99306        53052         3660
 NewYork                13            1       117940       110043            0            1            1        78620        90036         1522
 NewYork                13            2        96328       109386            0            0            1        40520        97745         5732
 NewYork                13            3       116915       124727         9980            0            1        76701       114787         1756
 NewYork                13            4       100386       110710         9548            0            1        64536        86613        21722
 NewYork                13            5       110476        94907         5448            1            1        91177        72630         3007
 NewYork                13            6        96972        22687            0            1            1        66414        16329            0
 NewYork                13            7        72280        54639            0            1            0        56608            0         8134
 NewYork                13            8       138296        25548         6404            1            1       101693        20543         2847
 NewYork                13            9       116545        14985        14985            1            1        91250        36653            0
 NewYork                13           10        97509         4315         4315            1            1        72479         7617         1492
 NewYork                13           11        80028         4287         5466            1            1        59068         6551         1081
 NewYork                13           12        55926        14976         2165            1            0        38324            0         3321
 NewYork                13           13        73520       107903        10825            0            1        33456        93393         4539
 NewYork                13           14       101652        97215         2970            1            1        92390        52754         1310
 NewYork                13           15       105011            0         5682            1            0        73517            0         2816
 NewYork                13           16        85222         7975            0            1            0        57245            0         1371
 NewYork                13           17        98068        16511         7802            1            1        66838        16138         7073
 NewYork                13           18       115841        92687            0            1            1        83965        60359         2561
 NewYork                13           19        92854       139610            0            0            1        66330        96239        20961
 NewYork                13           20        66826       150301        10204            0            1        48950       113239         4274
 NewYork                13           21       166371        91184         7723            1            1       144794        56239         4040
 NewYork                13           22        86896       164436            0            0            1        55975       154346            0
 NewYork                13           23        61835       139774        18053            0            1        39231       118359        10892
 NewYork                13           24        47675       122257        31137            0            1        33083       119933            0
 NewYork                13           25       107310       135076            0            0            1        82186       110242            0
 NewYork                13           26       119557       110738         6821            1            1        90998        89920         4529
 NewYork                13           27        89906       156596            0            0            1        51425       159248            0
 NewYork                13           28       140908       112273         1897            1            1       109947        77948         6404
 NewYork                13           29       128230        98031         9197            1            1       101921        79603         3387
 NewYork                13           30       111445       125734         6025            0            1        60390       122233            0
 NewYork                13           31        52010       150696        10848            0            0            0       114718        21102
 NCarolina              47            1       116078        54457         2727            1            1        66521        42477            0
 NCarolina              47            2       113693        93893         3983            1            1        62108        79666            0
 NCarolina              47            3       101739        80759         4552            1            1        65003        72247            0
 NCarolina              47            4       171299        89345         4416            1            1        76457        77770            0
 NCarolina              47            5       117835       102086         3758            1            1        63105        84580            0
 NCarolina              47            6        67200       162822            0            0            0         -9            -9            -9   
 NCarolina              47            7        92414        66536         4151            1            1        62396        58572            0
 NCarolina              47            8       113162        71842        10447            1            1        62882        57099            0
 NCarolina              47            9        74583       153650            0            0            1        44352        81409            0
 NCarolina              47           10        79206       149033         6888            0            1        42722       107479            0
 NCarolina              47           11       108003       130158            0            0            1        75104       113207            0
 NCarolina              47           12       127262        49402         4160            1            1        57592        29910            0
 NDakota                36           98       169273       117442         4839            1            1       121631       104651         6178
 Ohio                   24            1       120190            0       114232            1            1        72263        92451            0
 Ohio                   24            2        75924       177720            0            0            1        43471       149249            0
 Ohio                   24            3       146072        98733            0            1            1       104608        71638            0
 Ohio                   24            4        92608       147346          486            0            0         -9            -9            -9   
 Ohio                   24            5            0       187860            0            0            1        48914       134581            0
 Ohio                   24            6       122720       119252            0            1            1        86892        90401            0
 Ohio                   24            7        66237       164195            0            0            0         -9            -9            -9   
 Ohio                   24            8        62033       176362            0            0            0         -9            -9            -9   
 Ohio                   24            9       178879        53011        11162            1            1       117237        38442            0
 Ohio                   24           10       103788       136433            0            0            1        70547        94499        17586
 Ohio                   24           11       154718        43866        25040            1            1       112914        33361            0
 Ohio                   24           12        68761       170297            0            0            1        86839       103882            0
 Ohio                   24           13       134486        88889        28883            1            1        92536        85736        10160
 Ohio                   24           14       165335        78659            0            1            1        95510        88427            0
 Ohio                   24           15        94907       110390        44906            0            1        51503       110892            0
 Ohio                   24           16        90224       158489            0            0            1        45423       136375            0
 Ohio                   24           17       216503        40743            0            1            1       147849        43067            0
 Ohio                   24           18       166189        77229            0            1            1        88208       100929            0
 Ohio                   24           19       138465       124606            0            1            1        89162        99392        16465
 Oklahoma               53            1       106619       119211            0            0            1        63753       107085            0
 Oklahoma               53            2       118542        87657         7314            1            1        75943        82479            0
 Oklahoma               53            3       155934        51725            0            1            1       115731        41147            0
 Oklahoma               53            4       140841        58235            0            1            1        67237        80251         7913
 Oklahoma               53            5       107579       123237            0            0            0            0       136877        38270
 Oklahoma               53            6       134734        64068            0            1            1        45399       106961            0
 Oregon                 72            1       152917       140986          251            1            1       118934       118509         9252
 Oregon                 72            2        90036       184163          279            0            1        71576       100335         7074
 Oregon                 72            3       208028        50235        11616            1            1       132271        31183        14175
 Oregon                 72            4       199372        79733          194            1            1       138059        65425            0
 Oregon                 72            5       174443        97984          517            1            1       110297       117106         6218
 Pennsylvania           14            1       150172        35419            0            1            1        97283        22553            0
 Pennsylvania           14            2       164355        47906         1666            1            1       117754        19849            0
 Pennsylvania           14            3       130828        86787         4356            1            1        92013        54723            0
 Pennsylvania           14            4       186684        48484         2754            1            1       118907        66391            0
 Pennsylvania           14            5         -9            -9            -9               0            0         -9            -9            -9   
 Pennsylvania           14            6       108312        99694        99694            1            1        89184        67308            0
 Pennsylvania           14            7        91623       180648         1627            0            1        59777       137177            0
 Pennsylvania           14            8       114095       129593         5850            0            1        45057       110239        12272
 Pennsylvania           14            9         -9            -9            -9               0            0         -9            -9            -9   
 Pennsylvania           14           10            0       189414        20134            0            1        50112       105663            0
 Pennsylvania           14           11       138875        68112            0            1            1       100956        50389            0
 Pennsylvania           14           12         -9            -9            -9               1            1       117783        53113            0
 Pennsylvania           14           13       127685       126312            0            1            1        88173        96431        10430
 Pennsylvania           14           14       165633        61311         2094            1            1       104600        53250         5488
 Pennsylvania           14           15       111419        99520         2385            1            1        71751        71545         7228
 Pennsylvania           14           16        74741       137823            0            0            1        47569       109487            0
 Pennsylvania           14           17        65881       150158            0            0            0         -9            -9            -9   
 Pennsylvania           14           18        96655       154024         3650            0            1       101396        83714            0
 Pennsylvania           14           19        74798        98599        44190            0            0         -9            -9            -9   
 Pennsylvania           14           20       114898       111591            0            1            1        95340        83900            0
 Pennsylvania           14           21        70802       150729            0            0            1        84817        89367         6383
 RhodeIs                 5            1        48092       135982        10015            0            1        86904        73527            0
 RhodeIs                 5            2       144450        49998         9965            1            1       115246        53937            0
 SCarolina              48            1        59908       121938         2703            0            1        47849        97878         1836
 SCarolina              48            2            0       148667        21003            0            0         -9            -9            -9   
 SCarolina              48            3       119119        75660            0            1            1        59846        90061            0
 SCarolina              48            4        94182        99879         4286            0            1        39389       109613            0
 SCarolina              48            5       112031        70866          189            1            1        77007        70314            0
 SCarolina              48            6       120647        64149            0            1            1        88700        50225            0
 SDakota                37           98       230070        89375        13457            1            1       183038       112100        10931
 Tennessee              54            1        47809       114797         7542            0            1        34591       101508         3563
 Tennessee              54            2        52887       148377         4134            0            0            0       127831        13395
 Tennessee              54            3       105693       102763         8074            1            1        73602        84346         3424
 Tennessee              54            4        98984        50340         5180            1            1        60800        81328         1954
 Tennessee              54            5       125233        49417        12918            1            1        94005        60710         1596
 Tennessee              54            6       120177        86289         5952            1            1        90720        88644            0
 Tennessee              54            7        72062       125101         5694            0            1        65777       101733         1942
 Tennessee              54            8       136852            0        26570            1            1        96513        55100            0
 Tennessee              54            9       123276        60606        28857            1            1        94804        69224            0
 Texas                  49            1         -9            -9            -9               1            1        86420        63884         6001
 Texas                  49            2       118625        92176          549            1            1        87553        65947            0
 Texas                  49            3            0       201569        32570            0            0            0       157011        15611
 Texas                  49            4       128008        83875         8450            1            1        99315        67264         2376
 Texas                  49            5        98567        62419         6344            1            1        61342        58608         3216
 Texas                  49            6        73933       189140            0            0            1        44394       152011         4687
 Texas                  49            7         -9            -9            -9               0            0         -9            -9            -9   
 Texas                  49            8        53473       179349            0            0            0            0       147890        12752
 Texas                  49            9       118690        96270         6401            1            1        71643        81353         3801
 Texas                  49           10       177233        68646        15919            1            1       113738        80382         7866
 Texas                  49           11       119999        58033            0            1            1        76589        52824            0
 Texas                  49           12       125492        74432            0            1            1        96576        43957            0
 Texas                  49           13       117892        77514            0            1            1        63597        79326            0
 Texas                  49           14       135930        54412         9329            1            1        85899        68791            0
 Texas                  49           15        86351        56549            0            1            1        61889        40755         1806
 Texas                  49           16        66731        61870            0            1            1        49815        37409            0
 Texas                  49           17       136213        69958            0            1            1        83486        72000            0
 Texas                  49           18       111422        56080         4706            1            1        84802        28156         5447
 Texas                  49           19        47325       162057            0            0            0         -9            -9            -9   
 Texas                  49           20         -9            -9            -9               1            1        59257        35895            0
 Texas                  49           21        62827       190979        10847            0            0            0       165425        18471
 Texas                  49           22        67812       150221            0            0            1        38823       119296         4016
 Texas                  49           23        63797        98259         4291            0            1        43727        72868            0
 Texas                  49           24       104174        70042            0            1            1        65177        58039            0
 Texas                  49           25        98975        73192         4710            1            1        61945        53309         3247
 Texas                  49           26        55237       150209            0            0            1        39765       135397         2030
 Texas                  49           27        87022        66853         2969            1            1        64454        44200            0
 Texas                  49           28       122457            0        18128            1            1        73900        28745         1597
 Texas                  49           29        64064        34609            0            1            1        44090        15948            0
 Texas                  49           30       107381        37853         5063            1            1        73166        25848         1728
 Utah                   67            1        68712       160037        16505            0            1        57583       104740            0
 Utah                   67            2       127738       118307         6924            1            1        66883        85479        34174
 Utah                   67            3       135029        84019        10013            1            1        91091        61377         1731
 Vermont                 6           98        22279        86901       172446         -9               0            0        95995       110055
 Virginia               40            1        89814       133537         8677            0            1        44804       142927         4365
 Virginia               40            2        99253        77797            0            1            1        78524        54623            0
 Virginia               40            3       132432        35780          261            1            1       108091        28042            0
 Virginia               40            4       147649        68286            0            1            1       115236        71176            0
 Virginia               40            5       133031        60030            0            1            1        94955        83135            0
 Virginia               40            6        84618       127309          160            0            0         -9            -9            -9   
 Virginia               40            7        43267       211618        43757            0            0            0       176650        33123
 Virginia               40            8       138542       102717         5867            1            1       116602        77088         1808
 Virginia               40            9       133284        77985            0            1            1       102329        72021            0
 Virginia               40           10        75775       144471         6874            0            0            0       150421        21467
 Virginia               40           11       114172       103119        10981            1            1        80729        91622         5050
 Washington             73            1       148844       113897         8533            1            1        80948        82912            0
 Washington             73            2       133207       107365        15348            1            1        76295        89765            0
 Washington             73            3       138043       108583            0            1            1        74713        86072         5661
 Washington             73            4       106556       103028            0            1            1        69338        76483            0
 Washington             73            5       135965       110443            0            1            1        97448        99622            0
 Washington             73            6       152933        66664        18565            1            1        90822        64648            0
 Washington             73            7       222604        54149         7197            1            1       127758        39791            0
 Washington             73            8        87611       155874        14686            0            1        57779       118572            0
 Washington             73            9       110902        91910        10107            1            1        61642        64434            0
 WVirginia              56            1         -9            -9            -9               1            1       102605        43291            0
 WVirginia              56            2       143988        59102            0            1            1        90063        51224            0
 WVirginia              56            3       122279        64012            0            1            1        74344        41972            0
 Wisconsin              25            1       147495       104352         4391            1            1        82537        83935         3052
 Wisconsin              25            2       108291       183366         1140            0            1        55398       133802         4025
 Wisconsin              25            3       108664       146903         4736            0            1        65755        89271         5056
 Wisconsin              25            4       173482        84872         5449            1            1        93801        77701         2574
 Wisconsin              25            5       162344        71085          747            1            1        88040        51443         1576
 Wisconsin              25            6       128232       143875            0            0            0         -9            -9            -9   
 Wisconsin              25            7       166200        91772            0            1            1        97184        81697            0
 Wisconsin              25            8        81792       191704            0            0            1        65218       114021            0
 Wisconsin              25            9        77362       192898         6500            0            0         -9            -9            -9   
 Wyoming                68           98        77418       113882         5677            0            1        80964       104229        11817


