# Samples Generated by Stan
#
# stan_version_major=1
# stan_version_minor=0
# stan_version_patch=0
# data=models/bugs_examples/vol1/blocker/blocker.Rdata
# init=random initialization
# append_samples=0
# seed=1336062631
# chain_id=1
# iter=2000
# warmup=1000
# thin=1
# leapfrog_steps=-1
# max_treedepth=10
# epsilon=-1
# epsilon_pm=0
# delta=0.5
# gamma=0.05
#
lp__,treedepth__,d,sigmasq_delta,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,delta.21,delta.22,sigma_delta
-5929.71,4,-0.224702,0.022403,-2.1398,-2.09154,-1.74321,-2.54364,-2.46494,-1.89959,-1.74639,-2.20839,-2.22774,-2.25915,-2.02906,-1.27644,-2.74975,-2.87264,-1.33948,-1.48569,-1.95478,-2.74787,-3.76649,-1.64452,-1.99135,-2.75903,-0.140891,-0.200983,-0.205848,-0.0875025,0.00501561,-0.297089,-0.380134,-0.166232,-0.127479,-0.154037,-0.512961,-0.296266,-0.261607,0.087466,-0.268239,-0.588998,-0.370721,-0.264395,-0.131646,-0.234236,-0.713069,-0.549227,0.149676
-5923.58,3,-0.273586,0.0204809,-2.27775,-2.04418,-1.64304,-2.50956,-2.44428,-1.88999,-1.69171,-2.15736,-2.16641,-2.32058,-2.16577,-1.36328,-2.82021,-2.8854,-1.27287,-1.46017,-1.84288,-2.75481,-3.74081,-1.51204,-1.88846,-2.69737,-0.234524,-0.21995,-0.344289,-0.184033,-0.0194173,-0.313599,-0.35251,-0.0740043,-0.125873,-0.0904521,-0.434551,-0.0872811,-0.284763,0.00218847,-0.312648,-0.428642,-0.304942,-0.349496,-0.128699,-0.216052,-0.641143,-0.570939,0.143112
-5924.01,4,-0.207202,0.0228172,-2.20107,-2.03877,-2.53668,-2.36794,-2.31521,-2.31022,-1.71304,-2.17731,-1.79731,-2.35052,-2.48336,-1.29739,-3.37889,-2.78737,-1.44011,-1.70057,-2.23228,-3.04593,-3.31065,-1.49977,-2.39417,-2.83593,-0.187525,-0.58498,-0.0068554,-0.306555,-0.21119,-0.366973,-0.418458,-0.0719225,-0.404058,-0.0954756,-0.0928537,-0.133037,-0.133084,-0.139255,-0.135042,-0.139945,-0.0503161,-0.15164,-0.296395,-0.200449,-0.0796622,-0.124674,0.151054
-5921.55,4,-0.251376,0.0233709,-2.79235,-2.3284,-2.19716,-2.45658,-2.43205,-2.30701,-1.69794,-2.23975,-2.02475,-2.07958,-2.1358,-1.58474,-2.94003,-2.75886,-1.08579,-1.39528,-1.63025,-3.10984,-3.07814,-1.60196,-2.08025,-2.99043,-0.255633,-0.358515,-0.43445,-0.196991,-0.204297,-0.192756,-0.447972,-0.0636454,-0.254742,-0.490173,-0.436614,-0.30374,-0.241671,0.094689,-0.567951,-0.202238,-0.384609,-0.136356,-0.257299,-0.164723,-0.359052,-0.491535,0.152876
-5925.36,4,-0.267882,0.0218361,-2.85515,-2.02522,-2.16798,-2.3726,-2.57451,-2.64376,-1.73796,-2.04116,-1.89997,-2.42284,-2.34881,-1.41023,-3.06224,-2.83692,-1.52182,-1.65856,-1.79072,-3.70037,-3.44593,-1.29166,-2.14953,-2.73599,-0.108551,-0.224698,-0.119132,-0.320733,0.0374121,-0.255357,-0.399308,-0.362719,-0.46069,-0.14263,-0.125376,-0.239809,-0.323212,-0.0640421,-0.0438666,-0.133391,-0.389798,-0.20952,-0.214387,-0.462285,-0.430426,-0.253667,0.14777
-5924.81,4,-0.2741,0.0179206,-3.63492,-2.41345,-2.06717,-2.41794,-2.70288,-2.54736,-1.76821,-2.14063,-1.83614,-2.15256,-2.32236,-1.46559,-3.22077,-2.78294,-1.38082,-1.42285,-1.94555,-3.46078,-3.32595,-1.31228,-2.11103,-3.01157,-0.217295,-0.429808,-0.513271,-0.262959,-0.182328,-0.443445,-0.305293,-0.123799,-0.24493,-0.500284,-0.323548,-0.192374,-0.434464,0.140432,-0.391091,-0.200618,-0.177602,-0.273744,-0.261014,-0.238287,-0.201534,-0.512052,0.133868
-5930.19,5,-0.260346,0.0134427,-3.20405,-2.29881,-1.96501,-2.48178,-2.51768,-2.21801,-1.62281,-2.08802,-1.84168,-2.38286,-2.25933,-1.54687,-2.72237,-2.68481,-1.44717,-1.32217,-1.85207,-3.34593,-3.56807,-1.48911,-2.20049,-2.73704,-0.246412,-0.234001,-0.188802,-0.30853,0.347658,-0.129889,-0.653413,-0.213858,-0.592935,-0.19029,-0.292122,-0.206157,-0.177955,-0.217368,-0.122971,-0.483475,-0.348292,-0.179153,-0.257156,-0.447295,-0.420284,-0.227563,0.115943
-5926.31,4,-0.247872,0.0284549,-3.13724,-1.99783,-2.04602,-2.33302,-2.83219,-1.90334,-1.84439,-2.16499,-2.21183,-2.11704,-2.41074,-1.40351,-2.97414,-2.82992,-1.17675,-1.71881,-1.94859,-3.10419,-3.28928,-1.56803,-2.20765,-2.93416,-0.251566,-0.483036,-0.332259,-0.240724,0.049553,-0.420847,-0.144206,-0.0825696,-0.224781,-0.409396,-0.156285,-0.248923,-0.518671,0.183173,-0.51494,-0.0413989,-0.212679,-0.216972,-0.276305,-0.0962712,-0.484379,-0.255087,0.168686
-5926.77,4,-0.241202,0.0321053,-2.66876,-2.22181,-2.01669,-2.38917,-2.23791,-1.82026,-1.51351,-2.02152,-1.68481,-2.32258,-2.2645,-1.52366,-2.83113,-2.71863,-1.19658,-1.37009,-1.93743,-2.66996,-2.89848,-1.48303,-2.15898,-2.67579,-0.0604261,-0.157028,-0.560074,-0.185432,-0.119312,-0.389597,-0.670414,-0.282742,-0.360732,-0.229512,-0.14432,-0.0912281,-0.290626,-0.111893,-0.407579,-0.356328,-0.244083,-0.186968,-0.227179,-0.238763,-0.0257087,-0.726916,0.179179
-5927.13,4,-0.207031,0.0278415,-2.0956,-2.36535,-2.05654,-2.37397,-2.35923,-1.873,-1.79651,-2.08478,-2.24502,-2.20174,-2.50979,-1.43913,-3.10717,-2.89276,-1.2406,-1.48424,-1.93737,-2.66541,-3.10403,-1.58167,-2.36158,-2.88433,0.00382876,-0.212973,-0.0196205,-0.435895,-0.51144,-0.424721,-0.223089,-0.220857,-0.247929,-0.420115,-0.0367952,-0.240859,-0.144652,0.0526234,-0.38675,-0.209966,-0.204609,-0.373625,-0.194134,-0.139753,-0.4069,-0.369645,0.166858
-5926.4,4,-0.232371,0.0327625,-2.08324,-2.71036,-2.27812,-2.25848,-2.28423,-2.16015,-1.70801,-2.13446,-1.81677,-2.22718,-2.37391,-1.17485,-2.99348,-2.77174,-1.41937,-1.54483,-2.0928,-2.76002,-3.01231,-1.57443,-1.96926,-2.96078,-0.262508,-0.337645,-0.157311,-0.283255,-0.400639,-0.401246,-0.477375,-0.205921,-0.408987,-0.218499,-0.112431,-0.38981,-0.0438757,0.00900738,-0.353559,-0.154298,-0.192581,-0.344242,-0.390137,-0.133535,-0.150387,-0.436274,0.181004
-5928.15,4,-0.130527,0.0480105,-1.6985,-2.19315,-2.26385,-2.52099,-2.7153,-1.87266,-1.66687,-2.19559,-2.09634,-2.23385,-2.2072,-1.66163,-2.93005,-2.8255,-1.1364,-1.4003,-2.02086,-3.33332,-3.33625,-1.45581,-1.97363,-2.90339,-0.256894,-0.0440153,-0.293646,-0.205106,0.248632,-0.176744,-0.296395,-0.135432,-0.185962,-0.392556,-0.275936,0.194595,-0.59244,0.103209,-0.238396,-0.156353,0.0209269,0.067902,-0.0487226,-0.395507,-0.594823,-0.3099,0.219113
-5933.15,4,-0.358574,0.0482893,-3.25468,-1.82627,-1.81451,-2.52575,-2.20089,-2.63812,-1.77114,-2.0561,-1.82295,-2.14604,-2.42227,-1.40267,-2.87595,-2.71992,-1.24275,-1.34875,-1.89324,-3.02823,-3.1571,-1.44625,-2.17951,-2.65427,-0.371945,-0.951384,-0.320831,-0.219017,-0.48506,-0.512623,-0.175949,-0.13851,-0.607183,-0.346373,-0.180667,-0.1327,-0.309176,0.0964052,-0.220364,-0.315045,-0.242613,-0.298493,-0.586515,-0.329564,-0.218287,-0.700843,0.219748
-5930.85,5,-0.340677,0.03989,-3.89712,-1.79992,-2.09194,-2.39937,-2.34814,-2.56373,-1.59763,-2.22524,-1.92997,-2.15386,-2.07991,-1.42043,-2.91847,-2.79143,-1.45209,-1.50193,-1.64944,-3.03714,-3.30345,-1.27667,-2.0401,-2.84234,-0.211294,-0.757878,-0.202722,-0.269629,-0.0511921,-0.276599,-0.589678,-0.194175,-0.431344,-0.276784,-0.479951,-0.377663,-0.139055,-0.155221,-0.326037,-0.209593,-0.409927,-0.0898735,-5.68573e-05,-0.551035,-0.579418,-0.404602,0.199725
-5931.76,4,-0.374399,0.0499035,-3.70604,-2.11632,-2.09443,-2.35585,-2.45579,-2.53732,-1.59937,-2.0175,-1.87234,-2.15749,-2.30339,-1.431,-2.79259,-2.57594,-1.40846,-1.28996,-1.87803,-3.09452,-3.07335,-1.32205,-2.04588,-3.05478,-0.658907,-0.77208,-0.271471,-0.277318,-0.295493,-0.0739887,-0.557108,-0.2842,-0.510698,-0.483317,-0.313685,-0.350303,-0.358139,-0.154957,-0.0691703,-0.331815,-0.470082,-0.328547,-0.216122,-0.501153,-0.672352,-0.222324,0.223391
-5927.32,4,-0.302844,0.0145077,-2.92764,-1.98563,-2.37665,-2.41674,-2.49484,-2.31256,-1.62944,-2.01939,-1.97818,-2.14954,-2.25571,-1.54631,-2.91075,-2.98566,-1.05633,-1.53338,-2.1208,-2.68236,-3.0893,-1.61421,-2.29715,-2.73462,0.105564,-0.0396756,-0.1181,-0.307016,-0.257831,-0.402009,-0.273907,-0.231357,-0.229814,-0.424522,-0.312594,-0.248548,-0.186027,0.234092,-0.344177,-0.0974012,-0.20133,-0.387299,-0.381171,-0.118532,-0.316447,-0.692302,0.120448
-5930.18,4,-0.314615,0.0118577,-2.84165,-1.86033,-2.41837,-2.28948,-2.54843,-2.30484,-1.78896,-2.15811,-2.20767,-2.24616,-2.09028,-1.38187,-3.09205,-2.87885,-1.06219,-1.57231,-1.80643,-2.76723,-3.03278,-1.52648,-2.16056,-2.6648,-0.0364307,-0.365771,-0.411312,-0.25423,-0.0675942,-0.224573,-0.412215,-0.195101,-0.429374,-0.285004,-0.449423,-0.237592,-0.224082,-0.0456963,-0.405764,-0.364727,-0.334029,-0.253316,-0.162961,0.0344399,-0.223584,-0.902665,0.108893
-5924.33,4,-0.291969,0.0099859,-2.77594,-2.02875,-2.34166,-2.35361,-2.5069,-2.18914,-1.77775,-2.09067,-2.17195,-2.17949,-2.00762,-1.46108,-2.98902,-2.79148,-1.15056,-1.57384,-1.8849,-2.83934,-2.91142,-1.39355,-2.11651,-2.68578,-0.125801,-0.330537,-0.38911,-0.255511,0.0185861,-0.223666,-0.304966,-0.125367,-0.261989,-0.408788,-0.406162,-0.0852307,-0.220277,-0.169956,-0.257881,-0.317594,-0.25562,-0.214624,-0.151212,0.00318644,-0.346585,-0.685333,0.0999295
-5925.52,3,-0.298499,0.00967023,-2.80692,-2.08664,-2.3421,-2.39397,-2.61559,-2.22229,-1.78234,-2.08982,-2.15929,-2.22214,-1.98411,-1.41788,-3.07661,-2.78771,-1.2243,-1.58969,-1.85326,-2.82918,-2.94873,-1.39895,-2.13534,-2.74785,-0.0163844,-0.355267,-0.265687,-0.348163,-0.103342,-0.34212,-0.486709,-0.218824,-0.323424,-0.403881,-0.363265,-0.0849931,-0.173148,-0.207695,-0.33209,-0.284782,-0.32377,-0.254661,-0.100035,-0.0393595,-0.33497,-0.608623,0.0983373
-5919.53,5,-0.24571,0.0100967,-2.62985,-2.11555,-2.2183,-2.35608,-2.54133,-2.34968,-1.77701,-2.19581,-1.98207,-2.33579,-2.11179,-1.42546,-3.109,-2.7656,-1.35535,-1.58789,-2.01717,-2.81616,-2.92846,-1.63298,-2.00286,-2.78629,-0.14072,-0.333491,-0.153916,-0.201732,-0.100132,-0.253078,-0.294525,-0.149808,-0.198701,-0.206734,-0.316061,-0.189644,-0.354874,-0.19193,-0.251386,-0.445806,-0.117723,-0.0260246,-0.221102,-0.155838,-0.0689262,-0.534894,0.100482
-5919.53,5,-0.24571,0.0100967,-2.62985,-2.11555,-2.2183,-2.35608,-2.54133,-2.34968,-1.77701,-2.19581,-1.98207,-2.33579,-2.11179,-1.42546,-3.109,-2.7656,-1.35535,-1.58789,-2.01717,-2.81616,-2.92846,-1.63298,-2.00286,-2.78629,-0.14072,-0.333491,-0.153916,-0.201732,-0.100132,-0.253078,-0.294525,-0.149808,-0.198701,-0.206734,-0.316061,-0.189644,-0.354874,-0.19193,-0.251386,-0.445806,-0.117723,-0.0260246,-0.221102,-0.155838,-0.0689262,-0.534894,0.100482
-5917.88,4,-0.203969,0.01036,-2.50805,-2.06094,-2.36707,-2.40251,-2.59905,-2.55937,-1.83334,-2.28581,-1.83989,-2.28413,-2.36689,-1.43877,-3.0032,-2.55311,-1.48293,-1.64231,-2.2935,-2.84508,-2.96298,-1.67882,-2.03748,-2.97946,-0.189843,-0.115534,-0.155855,-0.206721,-0.156469,-0.403353,-0.191866,-0.104115,-0.255781,-0.227299,-0.22467,-0.108455,-0.216225,-0.176539,-0.167671,-0.272679,-0.0309852,-0.105028,-0.112671,-0.0594456,-0.149529,-0.502591,0.101784
-5917.88,4,-0.203969,0.01036,-2.50805,-2.06094,-2.36707,-2.40251,-2.59905,-2.55937,-1.83334,-2.28581,-1.83989,-2.28413,-2.36689,-1.43877,-3.0032,-2.55311,-1.48293,-1.64231,-2.2935,-2.84508,-2.96298,-1.67882,-2.03748,-2.97946,-0.189843,-0.115534,-0.155855,-0.206721,-0.156469,-0.403353,-0.191866,-0.104115,-0.255781,-0.227299,-0.22467,-0.108455,-0.216225,-0.176539,-0.167671,-0.272679,-0.0309852,-0.105028,-0.112671,-0.0594456,-0.149529,-0.502591,0.101784
-5919.46,4,-0.199494,0.010236,-2.49602,-2.01588,-2.42565,-2.39349,-2.59457,-2.50086,-1.89659,-2.19766,-1.83607,-2.24569,-2.31938,-1.43409,-3.05907,-2.65073,-1.40715,-1.53545,-2.35338,-2.7698,-2.91136,-1.69988,-2.08742,-2.9331,-0.10001,-0.098219,-0.268135,-0.16207,-0.151364,-0.415794,-0.26406,-0.0798771,-0.215603,-0.204436,-0.226337,-0.0880848,-0.0892249,-0.181833,-0.21856,-0.27791,-0.057621,-0.0915666,-0.0764474,-0.0511257,-0.26957,-0.502411,0.101173
-5914.12,4,-0.223324,0.00987969,-2.47278,-2.04977,-2.34959,-2.47145,-2.71138,-2.50971,-1.8071,-2.25026,-1.83998,-2.24436,-2.28364,-1.47814,-3.02472,-2.60994,-1.46643,-1.45314,-2.21827,-2.70595,-2.86385,-1.72753,-2.09037,-2.89816,-0.131725,-0.213994,-0.216233,-0.154139,-0.175463,-0.326144,-0.239459,-0.192585,-0.221744,-0.296522,-0.296803,-0.0726593,-0.140011,-0.205822,-0.211193,-0.294442,-0.124568,-0.250681,-0.132662,-0.0637617,-0.274395,-0.46541,0.0993966
-5919.2,6,-0.233978,0.00992793,-2.51811,-2.11158,-2.2607,-2.4365,-2.72939,-2.63449,-1.81139,-2.22856,-1.89647,-2.2226,-2.3514,-1.5531,-3.00155,-2.76178,-1.43812,-1.49583,-2.18641,-2.61706,-2.80169,-1.78956,-2.10645,-2.94613,-0.046078,-0.27714,-0.27845,-0.157853,-0.163136,-0.335688,-0.364776,-0.241624,-0.211314,-0.346744,-0.354162,-0.132766,-0.138324,-0.164655,-0.332817,-0.250542,-0.185362,-0.174107,-0.219682,-0.0777881,-0.222032,-0.550277,0.099639
-5919.2,4,-0.233978,0.00992793,-2.51811,-2.11158,-2.2607,-2.4365,-2.72939,-2.63449,-1.81139,-2.22856,-1.89647,-2.2226,-2.3514,-1.5531,-3.00155,-2.76178,-1.43812,-1.49583,-2.18641,-2.61706,-2.80169,-1.78956,-2.10645,-2.94613,-0.046078,-0.27714,-0.27845,-0.157853,-0.163136,-0.335688,-0.364776,-0.241624,-0.211314,-0.346744,-0.354162,-0.132766,-0.138324,-0.164655,-0.332817,-0.250542,-0.185362,-0.174107,-0.219682,-0.0777881,-0.222032,-0.550277,0.099639
-5919.2,4,-0.233978,0.00992793,-2.51811,-2.11158,-2.2607,-2.4365,-2.72939,-2.63449,-1.81139,-2.22856,-1.89647,-2.2226,-2.3514,-1.5531,-3.00155,-2.76178,-1.43812,-1.49583,-2.18641,-2.61706,-2.80169,-1.78956,-2.10645,-2.94613,-0.046078,-0.27714,-0.27845,-0.157853,-0.163136,-0.335688,-0.364776,-0.241624,-0.211314,-0.346744,-0.354162,-0.132766,-0.138324,-0.164655,-0.332817,-0.250542,-0.185362,-0.174107,-0.219682,-0.0777881,-0.222032,-0.550277,0.099639
