	switch	arsenic	dist	assoc	educ
97	1	1.44	14.41800022	1	5
98	0	0.64	29.27799988	1	14
99	0	0.8	43.94400024	1	14
100	1	1.93	20.22999954	0	0
101	0	0.56	50.09199905	0	5
102	0	1.32	66.87999725	0	5
103	0	0.52	69.48200226	0	3
104	0	1.19	48.70800018	1	5
105	0	1.18	22.63599968	1	12
106	0	1.26	10.12300014	0	5
107	0	0.88	42.82799911	0	8
108	0	3.16	21.0890007	0	5
109	0	2.12	47.5340004	0	5
110	1	0.76	15.71199989	0	5
111	0	0.56	12.18500042	0	5
112	0	0.62	23.55900002	0	0
113	1	1.03	1.84800005	0	5
114	0	0.78	90.92099762	0	5
115	0	1.02	93.82800293	1	5
116	0	0.65	82.10600281	1	9
117	1	2.29	46.95600128	1	3
118	1	1.6	24.20999908	1	4
119	1	0.82	43.29000092	0	5
120	1	1.44	25.14699936	0	10
121	1	0.97	14.60400009	0	0
122	0	0.89	1.401000023	0	8
123	1	1.39	8.210000038	0	12
124	1	0.83	18.86800003	0	0
125	1	0.57	23.40099907	0	0
126	1	1.47	18.53199959	1	9
127	1	1.11	36.28699875	0	10
128	1	2.38	40.4980011	0	12
129	0	3.97	90.57099915	0	0
130	1	3.51	115.1579971	1	3
131	0	3.69	112.762001	1	0
132	1	2.95	93.43099976	1	0
133	0	3.21	97.21700287	0	0
134	1	3.65	88.34500122	1	0
135	1	4.42	41.10400009	1	5
136	1	4.12	46.24000168	0	3
137	1	3.62	65.35399628	1	3
138	1	3.8	43.73500061	1	2
139	1	4.46	61.57099915	0	5
140	1	4.04	78.41500092	1	0
141	1	3.32	63.5019989	0	5
142	0	2.07	69.26899719	1	5
143	1	1.43	57.92900085	1	6
144	1	2.3	85.38700104	0	5
145	1	1.41	110.6090012	0	5
146	1	2.34	111.4899979	1	0
147	1	1.5	176.1970062	0	0
148	0	1.44	172.1080017	0	0
149	0	1.54	177.8029938	0	0
150	1	1.35	22.67099953	1	0
151	1	0.54	27.88100052	1	5
152	1	1.17	19.26000023	0	8
153	0	1.02	24.5	0	0
154	1	1.11	6.632999897	0	5
155	0	0.52	7.040999889	0	10
156	0	0.56	30.31399918	1	8
157	1	0.61	21.97900009	1	0
158	1	2.17	10.45800018	1	5
159	0	0.61	74.99900055	0	5
160	1	0.96	81.97100067	1	3
161	1	0.94	92.1760025	1	5
162	1	0.93	106.6080017	1	3
163	0	1.02	103.060997	1	4
164	0	1.24	86.60500336	0	0
165	0	1.42	110.5619965	0	5
166	0	1.31	122.3259964	0	5
167	0	0.83	122.0189972	0	0
168	0	2.64	57.63299942	1	2
169	0	1.84	39.59600067	0	5
170	0	2.48	39.51599884	0	0
171	0	1.27	21.55500031	0	10
172	0	0.69	51.7480011	0	0
173	1	0.61	13.52099991	1	5
174	0	0.89	31.45400047	0	5
175	1	0.75	89.43099976	0	5
176	0	0.81	19.26399994	1	0
177	0	1.81	53.36299896	1	9
178	0	1.25	30.12899971	1	0
179	1	1.12	27.13699913	1	9
180	1	0.71	28.71199989	1	0
181	1	2.16	20.63999939	1	0
182	1	1.7	36.75	0	5
183	1	1.84	49.68000031	0	5
184	0	1.26	102.7109985	1	0
185	0	2.53	108.6159973	1	0
186	0	2.95	96.43599701	0	0
187	0	0.62	100.8610001	0	0
188	1	3.01	137.8999939	0	10
189	0	2.56	124.6709976	1	5
190	1	1.97	151.0659943	0	10
191	0	1.2	121.5759964	1	5
192	0	0.89	32.84999847	0	0
193	0	0.52	8.546999931	0	10
194	1	2.49	27.97400093	0	4
195	1	1.25	29.45800018	0	0
196	0	1.13	19.65999985	1	5
197	1	1.13	47.70899963	0	12
198	1	0.52	71.52300262	0	10
199	1	0.88	67.1760025	1	10
200	0	3.48	69.96700287	0	5
201	0	0.56	83.5719986	0	10
202	0	1.35	71.42500305	0	5
203	1	1.67	71.42500305	0	0
204	0	1.92	71.42500305	0	10
205	0	2.41	190.2879944	0	7
206	0	2.36	186.3049927	0	5
207	0	2.41	218.3000031	0	0
208	1	1.46	53.54399872	0	14
209	1	2	63.60200119	0	0
210	1	1.32	67.49299622	0	5
211	1	1.75	66.73600006	0	5
212	1	1.84	47.99599838	0	0
213	0	1.72	54.41600037	0	5
214	0	1.77	94.72299957	0	5
215	1	2.77	70.77400208	0	7
216	1	0.73	11.2489996	1	0
217	1	0.69	4.880000114	1	0
218	0	0.58	18.14299965	1	5
219	1	0.52	15.77900028	1	12
220	1	0.62	0.386999995	1	5
221	1	3.33	14.96500015	1	5
222	0	0.51	24.67700005	0	0
223	0	1.26	17.50699997	1	0
224	1	0.6	22.88199997	0	5
225	1	0.59	6.796000004	0	5
226	1	0.66	8.99600029	1	0
227	1	0.74	2.40899992	1	0
228	1	0.71	9.305999756	1	0
229	1	0.86	21.99600029	1	7
230	0	0.51	14.07699966	0	10
231	1	0.58	29.64900017	1	5
232	0	0.55	11.37699986	0	5
233	1	1.26	29.54100037	0	0
234	0	0.52	33.36700058	0	10
235	0	0.83	26.71500015	0	10
236	0	0.57	21.11800003	0	5
237	0	0.53	71.48200226	0	0
238	0	0.67	71.63700104	1	0
239	1	3.5	23.83099937	0	5
240	1	2.8	5.728000164	1	12
241	1	0.77	15.81499958	1	5
242	1	0.74	32.5870018	1	5
243	1	0.77	40.13100052	0	10
244	1	1.58	49.63800049	1	2
245	1	0.8	24.88699913	0	10
246	0	0.55	47.67100143	1	0
247	1	0.9	56.5909996	1	10
248	0	0.52	74.11699677	0	8
249	1	2.59	81.84899902	1	0
250	1	1.27	86.09400177	1	8
251	0	0.97	71.80599976	0	14
252	0	1.47	61.74499893	1	4
253	0	1.03	25.04500008	0	12
254	0	0.93	19.92900085	1	2
255	0	0.79	50.11899948	0	10
256	0	0.66	53.81600189	1	5
257	0	0.85	33.50299835	1	10
258	0	0.93	58.35599899	0	5
259	0	1.42	17.95400047	0	12
260	0	0.75	28.02700043	0	4
261	0	1.46	31.66799927	0	8
262	0	1.16	34.43700027	0	5
263	0	1.17	50.95199966	0	15
264	1	0.83	60.75299835	1	0
265	1	1.24	74.8769989	0	5
266	1	3.08	57.95999908	0	5
267	1	3.59	61.62400055	0	0
268	1	1.96	76.06600189	0	7
269	1	1.67	105.8669968	0	5
270	0	1.69	112.6750031	0	0
271	0	2.71	197.1349945	1	5
272	0	1.27	304.0969849	1	5
273	0	1.43	339.5310059	0	4
274	0	1	70.27100372	0	5
275	0	0.52	92.7440033	0	5
276	0	0.65	55.92100143	0	9
277	0	0.7	50.82899857	1	0
278	0	0.51	37.60100174	0	0
279	0	1.02	17.93099976	0	0
280	1	2.05	11.81700039	0	5
281	1	0.77	18.79700089	1	0
282	1	1.2	17.57500076	0	5
283	1	0.62	22.44300079	0	5
284	1	1.31	27.02599907	1	5
285	1	1.79	17.13999939	0	0
286	1	0.56	25.45400047	0	0
287	1	0.77	45.57600021	0	5
288	1	0.66	52.76100159	0	0
289	1	1.1	30.54100037	0	0
290	1	0.82	16.39900017	1	5
291	1	2.22	29.31900024	0	5
292	1	2.82	36.06100082	1	0
293	0	0.64	22.60700035	0	6
294	1	1.26	27.14100075	1	6
295	1	1.53	9.44699955	1	5
296	1	1.8	16.6970005	0	0
297	1	1.24	50.47700119	1	8
298	0	0.93	9.223999977	0	5
299	1	0.54	6.931000233	1	6
300	1	0.82	27.29199982	0	5
301	1	0.61	25.29500008	0	5
302	0	0.71	52.7120018	1	5
303	1	0.81	51.72900009	0	4
304	1	0.65	68.5719986	1	4
305	1	0.68	23.67900085	1	0
306	1	1.26	45.20199966	1	9
307	1	0.92	9.168999672	0	5
308	1	1.25	16.37100029	1	0
309	1	1.16	19.41699982	0	5
310	1	0.76	57.79299927	1	5
311	1	1.2	43.27199936	0	10
312	0	0.9	19.84000015	0	9
313	1	0.52	5.179999828	0	5
314	1	0.53	42.68500137	0	8
315	0	0.64	5.162000179	1	8
316	1	1.96	38.9640007	1	10
317	1	0.59	58.09799957	0	9
318	1	1.48	61.59000015	0	9
319	1	1.78	32.59400177	0	0
320	1	1.41	30.16399956	0	5
321	1	1.5	18.52199936	0	5
322	1	1.86	24.77499962	0	12
323	1	1.6	35.43600082	1	5
324	1	0.7	31.3409996	0	10
325	0	0.51	15.5710001	1	5
326	1	2.48	27.17300034	0	0
327	1	0.63	49.0340004	0	10
328	1	1.07	135.3200073	1	0
329	0	0.71	37.77799988	0	7
330	1	1.12	3.779000044	1	8
331	0	0.53	49.16899872	0	0
332	0	0.58	50.72399902	1	0
333	1	1.31	26.21699905	0	12
334	1	1.49	20.91399956	0	12
335	1	0.86	3.312000036	0	5
336	1	0.64	35.71500015	0	10
337	1	1.44	52.29199982	0	0
338	0	1.52	60.14599991	0	5
339	1	1.27	44.46099854	0	0
340	0	2.17	70.02200317	1	0
341	0	1.73	95.80799866	0	5
342	1	1.93	121.7639999	0	9
343	1	2.2	127.5660019	0	5
344	1	1.6	120.1529999	0	8
345	1	1.65	66.21499634	0	0
346	0	0.81	54.97299957	1	0
347	0	1.86	73.21499634	0	5
348	0	1.93	33.36600113	1	5
349	1	1.9	87.31400299	0	5
350	0	4.06	95.30899811	0	5
351	1	4.03	128.0950012	1	3
352	1	1.56	109.7770004	0	10
353	0	2.53	138.5789948	0	0
354	0	3.41	162.2640076	0	0
355	0	2.21	155.7859955	0	0
356	0	2.92	105.651001	0	5
357	0	2.06	93.96199799	0	5
358	1	3.89	72.10199738	0	5
359	1	2.88	55.54899979	0	0
360	0	1.39	49.69599915	0	0
361	1	2.07	45.51100159	0	10
362	0	1.46	50.58200073	0	0
363	1	1.51	81.20600128	0	5
364	0	3.23	95.77100372	0	5
365	1	4.21	76.50800323	0	5
366	1	2.49	56.63800049	0	5
367	1	0.78	38.98199844	1	0
368	1	2.32	30.83699989	0	0
369	1	1.43	60.71900177	0	7
370	1	1.71	29.60099983	0	0
371	1	1.99	77.13500214	0	5
372	1	2.48	95.09999847	0	0
373	1	4.29	50.39300156	1	10
374	1	3.88	49.72100067	0	0
375	1	3.04	72.52999878	1	0
376	1	3.36	25.67700005	1	10
377	1	3.44	8.024000168	1	10
378	0	1.38	63.67900085	0	5
379	0	1.9	53.31499863	0	10
380	1	2.79	45.97800064	0	0
381	1	3.73	69.61799622	0	10
382	1	2.04	72.21700287	0	0
383	1	2.09	55.55199814	0	0
384	1	2.63	81.3789978	1	0
385	1	3.3	81.13200378	1	0
386	1	3.25	51.70899963	0	6
387	1	1.53	55.77899933	0	5
388	1	2.6	26.97299957	0	5
389	1	2	28.21500015	0	0
390	1	2.82	71.96099854	1	0
391	1	2.56	75.52600098	0	0
392	0	3.62	45.06999969	0	0
393	1	5.25	80.68000031	0	0
394	1	1.59	96.94000244	0	0
395	1	2.21	115.3270035	0	0
396	1	2.42	108.5469971	0	3
397	1	2.36	86.93699646	0	0
398	1	1.22	94.14199829	0	0
399	1	3.93	81.89600372	1	0
400	0	4.93	54.95999908	0	0
401	1	1.91	46.61000061	0	0
402	1	2.33	68.0739975	0	0
403	1	2.18	102.3980026	0	0
404	1	4.77	107.3690033	1	0
405	1	3.79	84.88400269	0	0
406	1	3.48	84.89099884	0	0
407	0	3.02	58.68299866	0	0
408	1	2.71	68.31400299	1	7
409	1	2.34	38.78099823	0	0
410	1	3.15	81.75800323	1	0
411	1	2.56	102.9530029	1	5
412	1	3.34	107.4800034	0	12
413	1	2.32	120.0940018	1	10
414	1	3.62	135	1	10
415	1	1.02	71.77300262	0	0
416	1	3.26	33.1969986	1	0
417	1	1.61	47.01200104	1	7
418	1	1.16	60.36199951	1	0
419	0	1.01	128.848999	1	0
420	0	0.67	144.0709991	1	9
421	0	3.17	110.4250031	0	5
422	0	2.44	113.0090027	1	0
423	0	2.26	78.97599792	0	7
424	1	1.65	52.93000031	1	7
425	1	3.86	14.00500011	0	5
426	1	3.32	18.47699928	1	5
427	1	3.19	61.95700073	0	0
428	1	3.42	66.06400299	1	10
429	1	1.66	60.31200027	0	0
430	1	3.35	74.92099762	0	9
431	1	3.09	73.83899689	0	0
432	1	3.59	61.17200089	0	0
433	1	3.88	10.80900002	1	0
434	1	2.94	65.90299988	1	10
435	1	0.95	34.52799988	1	5
436	1	2.6	63.9090004	0	9
437	1	3.24	74.84899902	0	9
438	1	3.32	81.55500031	0	0
439	1	3.26	66.43699646	0	5
440	1	3.27	60.45899963	0	0
441	1	3.4	43.48500061	0	0
442	1	2.91	116.4410019	0	5
443	1	1.48	84.87400055	0	10
444	1	4.35	62.29199982	0	0
445	1	1.87	70.10299683	0	5
446	1	3.01	60.56100082	0	5
447	0	3.05	45.2120018	0	0
448	1	2.62	49.69800186	0	10
449	1	3.26	32.44900131	0	12
450	1	1.92	47.01900101	1	0
451	1	3.44	62.61899948	0	5
452	1	2.57	30.17900085	0	8
453	1	2.97	47.64699936	1	9
454	0	2.95	52.09899902	1	9
455	1	2.28	95.0739975	0	5
456	1	3.17	80.70300293	0	14
457	1	3.69	80.42700195	0	5
458	0	3.08	81.58300018	1	5
459	1	2.86	47.3390007	1	5
460	0	1.95	44.95000076	1	5
461	1	1.78	29.7140007	0	0
462	0	2.2	45.55400085	0	5
463	1	1.71	31.55500031	0	5
464	0	3.86	58.22399902	0	0
465	1	3.45	40.83499908	0	6
466	1	3.97	47.84600067	0	7
467	1	1.39	9.772999763	0	0
468	0	4.81	185.2050018	0	0
469	1	2.08	82.625	0	4
470	0	2.49	112.7050018	1	5
471	0	1.83	98.02899933	1	0
472	0	1.24	112.1439972	1	0
473	0	1.38	133.4360046	0	10
474	0	1.54	163.552002	0	0
475	0	0.53	18.14699936	0	0
476	0	0.9	27.24500084	1	5
477	0	2.04	15.88899994	1	3
478	1	0.61	5.21600008	0	5
479	0	0.55	11.27400017	0	6
480	0	0.52	9.220000267	0	5
481	0	0.77	23.6760006	1	0
482	0	0.67	23.6760006	1	0
483	0	0.67	35.50299835	1	5
484	0	0.64	31.11000061	0	0
485	0	0.57	24.43499947	0	0
486	1	0.76	24.43499947	1	0
487	1	0.75	24.43499947	1	0
488	1	0.9	24.43499947	1	5
489	0	0.62	24.43499947	1	12
490	1	2.26	23.51799965	1	2
491	1	1.23	30.13599968	1	3
492	0	1.21	28.38699913	1	0
493	1	2.33	6.136000156	0	10
494	0	1.2	6.136000156	1	0
495	1	2.38	24.43499947	0	12
496	1	2.82	24.43499947	0	12
497	0	3.29	6.136000156	1	0
498	0	1.52	6.136000156	1	5
499	0	0.54	55.78300095	1	3
500	0	0.86	11.6079998	1	5
501	1	2.3	19.71299934	0	0
502	1	1.67	24.17499924	1	0
503	0	2.3	3.714999914	1	5
504	1	0.86	30.83099937	0	14
505	0	0.53	12.56400013	1	8
506	0	1.63	12.56400013	1	5
507	0	2.05	12.56400013	1	7
508	0	1.71	58.65100098	1	0
509	0	0.54	45.14300156	0	0
510	1	1.47	6.328000069	0	2
511	1	0.73	6.328000069	0	5
512	1	0.61	6.328000069	0	12
513	1	0.59	6.328000069	1	0
514	1	0.86	24.13299942	0	5
515	0	3.53	94.34700012	1	5
516	0	3.68	76.48600006	0	5
517	0	0.93	57.22700119	0	6
518	0	0.58	45.61000061	0	12
519	1	1.22	43.38199997	0	2
520	0	1.24	6.328999996	0	16
521	0	0.59	23.09900093	1	0
522	0	1.67	16.3579998	0	0
523	0	1.16	25.71100044	1	10
524	0	1.1	47.48799896	1	0
525	0	0.72	3.407000065	0	3
526	0	1.01	5.357999802	1	0
527	0	1.08	62.5019989	1	2
528	0	1.03	27.87000084	1	0
529	1	0.58	48.23400116	1	2
530	0	0.51	31.78199959	1	14
531	1	0.64	3.252000093	1	7
532	1	2.38	3.252000093	1	14
533	0	1.53	3.252000093	1	5
534	1	2.72	3.252000093	1	8
535	1	3.84	3.252000093	0	0
536	0	0.92	3.252000093	1	5
537	0	0.64	3.252000093	1	0
538	0	0.56	13.66699982	1	3
539	1	0.56	21.17399979	1	0
540	0	3.55	12.77900028	0	0
541	0	0.55	50.36600113	1	0
542	1	0.58	29.49900055	1	0
543	0	0.57	34.30899811	0	0
544	0	0.53	4.875	1	0
545	1	0.64	15.79100037	0	0
546	0	0.56	16.13500023	1	0
547	0	0.71	7.178999901	1	0
548	0	0.75	20.20400047	0	0
549	0	0.69	21.26399994	0	5
550	0	0.82	32.79700089	1	4
551	0	0.93	27.95100021	0	3
552	0	0.52	33.57799911	1	0
553	1	0.57	14.80500031	0	3
554	0	0.69	11.19499969	0	0
555	0	0.51	10.20400047	0	5
556	1	0.82	21.14999962	1	4
557	1	0.7	15.82800007	0	5
558	1	0.96	8.567000389	1	12
559	1	0.53	14.77099991	1	5
560	0	0.72	38.84000015	1	5
561	0	0.68	33.20800018	1	5
562	0	0.81	7.532000065	1	5
563	0	0.7	38.72800064	1	12
564	1	1.04	4.122000217	1	3
565	1	2.72	24.43199921	1	6
566	1	1.24	24.35899925	1	4
567	1	0.6	8.196000099	0	3
568	1	0.71	3.907999992	1	2
569	0	2.66	9.005999565	0	5
570	1	1.5	22.22100067	1	2
571	1	1.83	18.3390007	1	2
572	1	0.51	14.14000034	1	5
573	0	0.95	19.39699936	1	12
574	0	0.61	25.00799942	1	3
575	0	1.13	32.1269989	1	4
576	1	3.26	18.41600037	0	4
577	1	1.17	16.63699913	1	4
578	1	0.68	22.95499992	1	3
579	1	0.52	15.29500008	1	4
580	1	0.66	23.36400032	0	5
581	0	0.51	47.02600098	0	5
582	0	1.21	36.10800171	0	4
583	0	0.59	86.97899628	0	4
584	1	0.99	38.90399933	0	0
585	1	0.66	19.3239994	1	9
586	0	0.51	1.646000028	1	12
587	1	1.15	18.59300041	1	0
588	0	0.68	20.0510006	1	5
589	0	0.53	11.82999992	1	12
590	0	0.63	33.30400085	1	5
591	1	2.05	8.020999908	1	5
592	0	0.73	19.81599998	0	0
593	0	0.91	21.26799965	1	4
594	0	0.82	17.49200058	1	5
595	0	0.67	29.7140007	1	4
596	1	0.85	25.7859993	0	3
597	0	0.81	23.89500046	0	4
598	0	0.59	11.58100033	1	5
599	0	0.65	26.85000038	1	9
600	0	0.53	13.57800007	1	14
601	0	0.58	25.70000076	1	10
602	0	0.56	12.06999969	1	10
603	0	0.95	7.693999767	0	8
604	0	0.61	22.15500069	0	8
605	0	0.72	8.828000069	0	9
606	1	0.7	19.6439991	1	12
607	0	0.58	36.39300156	0	9
608	0	1.03	39.05899811	1	8
609	1	0.67	51.89099884	0	0
610	1	0.57	30.55200005	0	8
611	0	0.85	34.30500031	1	6
612	1	0.72	40.39300156	1	8
613	1	0.78	16.81299973	1	8
614	0	0.52	26.19799995	0	10
615	0	0.54	11.69999981	1	5
616	0	0.61	51.4659996	1	4
617	1	1.1	131.7709961	1	12
618	1	1.07	119.1589966	1	12
619	1	0.65	128.7859955	0	12
620	1	1.25	101.0179977	1	10
621	1	1.19	99.91400146	1	12
622	0	1.21	90.45800018	1	5
623	1	0.76	79.19599915	1	12
624	0	0.9	65.95999908	0	8
625	1	1.15	80.89399719	1	12
626	0	0.58	50.52999878	0	4
627	1	2.95	24.02499962	1	0
628	1	2.71	81.98300171	0	3
629	0	0.96	71.08100128	1	8
630	1	2.34	83.43499756	0	8
631	1	2.37	84.3030014	0	7
632	1	1.34	8.513999939	0	12
633	1	3.16	122.8550034	0	3
634	0	1.4	23.06999969	1	5
635	1	3.18	114.6589966	0	8
636	0	2.95	126.3190002	0	0
637	0	3.27	136.2100067	1	0
638	0	1.93	155.4199982	0	5
639	0	2.86	178.7559967	1	5
640	0	2.28	58.64799881	1	8
641	1	2.07	13.875	1	5
642	1	3.5	25.88299942	1	5
643	1	4.54	30.68099976	0	5
644	1	3.92	36.06299973	1	8
645	1	1.65	28.18400002	1	7
646	1	2.07	47.83100128	1	0
647	1	2.97	25.79999924	0	12
648	1	3.91	49.14799881	1	9
649	1	3.29	48.20999908	1	4
650	1	2.61	35.50299835	0	0
651	1	2.63	38.41199875	0	3
652	1	1.54	66.30200195	1	5
653	1	2.61	54.68399811	1	5
654	1	0.9	18.0189991	1	8
655	1	2.44	44.15399933	1	2
656	1	2.72	47.41400146	1	6
657	1	3.86	33.42499924	0	4
658	1	1.26	55.57699966	1	12
659	1	3.98	33.11600113	1	8
660	1	2.22	11.44900036	1	6
661	0	2.28	28.73900032	1	7
662	1	1.62	23.23500061	1	12
663	1	1.08	27.10000038	1	12
664	1	1.78	23.83399963	1	12
665	1	0.6	25.66900063	1	12
666	1	0.63	14.16600037	1	8
667	1	2.1	28.47999954	1	12
668	1	2.06	16.96500015	1	8
669	1	2.98	25.61300087	1	0
670	1	2.12	35.88999939	0	14
671	1	1.71	13.29899979	0	8
672	1	2.44	25.65999985	1	8
673	1	2.59	29.02199936	0	6
674	0	1.92	31.62999916	1	5
675	1	1.92	23.94499969	0	5
676	1	0.83	55.83200073	1	5
677	1	1.76	50.45000076	1	5
678	1	1.84	57.43600082	1	4
679	1	2.14	89.26699829	1	0
680	1	2.48	122.836998	1	0
681	0	1.7	144.6349945	1	5
682	1	3.33	166.2940063	0	0
683	0	1.78	157.2400055	0	5
684	1	2.15	151.1390076	1	0
685	1	1.36	157.9329987	1	9
686	1	1.95	165.9980011	1	8
687	1	4.42	188.102005	1	5
688	1	1.39	174.5149994	1	10
689	1	0.62	65.69999695	0	12
690	1	1.63	61.125	0	12
691	0	0.86	25.24699974	0	12
692	0	0.92	2.239000082	0	10
693	0	0.51	25.53800011	1	8
694	0	1.96	9.402000427	1	12
695	0	0.91	27.19400024	1	12
696	1	0.6	25.90399933	1	12
697	1	0.73	18.01499939	1	10
698	1	0.63	9.06099987	1	4
699	0	3.47	30.51000023	0	12
700	1	1.19	51.27399826	1	3
701	1	1.31	35.89199829	1	6
702	1	0.9	42.54999924	1	5
703	1	2.39	30.11599922	0	12
704	1	2.31	27.86000061	0	12
705	1	1.21	45.51399994	1	10
706	1	1.06	42.5359993	0	4
707	1	2.17	48.60400009	0	8
708	1	1.82	43.73199844	0	12
709	1	1.51	31.0890007	1	8
710	1	1.6	35.3429985	0	9
711	1	0.85	32.10100174	0	8
712	1	1.44	30.44499969	0	4
713	1	1.64	43.07699966	1	10
714	1	0.68	28.36700058	0	8
715	1	1.68	28.74200058	1	5
716	1	1.64	23.13100052	1	9
717	1	0.71	15.00500011	0	7
718	1	1.31	45.06499863	1	0
719	1	1.15	51.625	0	2
720	1	1.03	8.55300045	1	8
721	1	2.25	8.717000008	1	8
722	1	1.42	4.646999836	0	5
723	0	0.62	20.06399918	1	4
724	1	3.04	18.21699905	0	5
725	1	1.39	32.40399933	0	5
726	0	0.52	48.39099884	0	5
727	0	1.07	23.64800072	0	5
728	0	0.53	44.58399963	0	10
729	1	0.87	21.96100044	1	5
730	0	1.22	21.96100044	1	5
731	0	0.91	14.00300026	1	5
732	0	0.65	34.49399948	1	12
733	0	2.19	67.23999786	1	15
734	0	2.45	70.53800201	1	15
735	1	1.71	91.98300171	1	14
736	1	2.89	35.57899857	1	5
737	1	2.73	35.57899857	1	10
738	1	1.55	4.414000034	1	0
739	1	1.28	71.40799713	0	3
740	1	1.34	75.23300171	1	8
741	1	2.01	95.18099976	0	9
742	0	2.29	102.1139984	0	6
743	0	2.59	114.4869995	1	5
744	1	3.34	113.7269974	0	16
745	1	2.76	123.7949982	0	8
746	1	2.51	113.4240036	1	6
747	1	2.42	143.0709991	0	0
748	0	3.51	152.5189972	0	5
749	1	3.19	142.8690033	0	6
750	1	2.58	134.6000061	0	8
751	1	2.18	126.9420013	1	5
752	1	4.51	118.8160019	0	0
753	1	3.29	110.6999969	0	5
754	1	3.31	89.19000244	0	5
755	0	2.98	79.67500305	1	8
756	1	1.07	132.9459991	1	6
757	0	2.63	125.5240021	0	5
758	0	1.29	115.3889999	0	5
759	1	3.38	99.02100372	1	6
760	1	0.83	117.0100021	1	5
761	1	2.56	75.60600281	1	5
762	0	0.56	69.78299713	0	9
763	0	1.59	52.18199921	0	5
764	0	2.87	134.098999	1	9
765	0	1.11	95.46700287	1	8
766	0	1.09	64.9980011	0	8
767	0	2.89	43.59799957	1	5
768	0	0.67	33.70899963	1	4
769	0	1.08	20.00900078	1	0
770	0	1.71	22.62000084	1	5
771	0	2.83	106.4889984	0	0
772	1	2.59	137.8159943	0	5
773	1	2.2	155.5079956	0	12
774	1	2.04	152.1609955	0	12
775	0	1.78	202.1340027	0	0
776	0	1.94	170.4279938	0	4
777	0	1.36	120.7639999	1	5
778	1	3.25	131.1790009	0	4
779	0	1.38	72.35900116	0	4
780	1	1.51	50.58300018	1	4
781	0	0.84	75.3690033	0	8
782	0	0.98	79.36000061	0	5
783	0	0.9	93.58599854	1	5
