"","y","roach1","treatment","senior","exposure2"
"67",33,13.13,1,0,1
"68",127,154,1,0,1
"69",4,21,1,0,1
"70",63,220,1,0,1
"71",88,38.32,1,0,1
"72",5,352.5,1,0,0.6
"73",0,7,1,0,1
"74",0,4,1,0,1
"75",62,59.5,1,0,1
"76",4,7.5,1,0,1
"77",150,112.88,1,0,1.28571428571429
"78",38,172,1,0,1
"79",0,13,1,0,1
"80",3,18,1,0,1
"81",1,0,1,0,1
"82",14,27,1,0,1
"83",77,148,1,0,1
"84",42,32,1,0,1.14285714285714
"85",21,28,1,0,1
"86",1,0,1,0,1
"87",45,28,1,0,1
"88",0,0,1,1,0.8
"89",0,14,1,1,0.8
"90",0,5,1,1,1
"91",0,0,1,1,1
"92",0,104,1,1,0.685714285714286
"93",183,27,1,1,1
"94",28,132,1,1,1
"95",49,258,1,1,1
"96",1,1,1,1,1
"97",0,2,1,1,1
"98",0,6,1,1,1
"99",3,3,1,1,0.8
"100",0,3,1,1,0.857142857142857
"101",0,0,1,1,1
"102",0,0,1,1,1
"103",0,0,1,1,1
"104",18,1.25,1,1,1
"105",0,0,1,1,1
"106",0,16,1,1,1
"107",5,68,1,1,0.4
"108",0,1,1,1,0.8
"109",19,18,1,1,1.14285714285714
"110",5,123.67,1,1,1
"111",0,2,1,1,0.8
"112",27,82.5,1,1,1
"113",0,0,1,1,0.2
"114",0,1.25,1,1,1
"115",77,171,1,1,1
"116",1,91.88,1,1,1
"117",3,5,1,1,1
"118",2,7,1,1,1
"119",0,0,1,1,1
"120",0,4,1,1,1
"121",22,53.75,1,1,1
"122",102,138.06,1,1,1.14285714285714
"123",0,1,1,1,1.14285714285714
"124",0,1.25,1,1,1
"125",0,28,1,1,0.8
"126",0,15,1,1,1
"127",0,0.88,1,1,0.8
"128",0,0,1,1,1
"129",0,33,1,1,1
"130",4,136.25,1,1,4.28571428571429
"131",12,127.5,1,1,0.8
"132",2,2,1,1,0.8
"133",0,2,1,1,0.8
"134",0,0,1,1,1
"135",1,3,1,1,1
"136",0,46,1,1,1.28571428571429
"137",40,68,1,1,1
"138",0,0,1,1,1
"139",1,49,1,1,1
"140",2,27.13,1,1,1
"141",27,45.5,1,0,1
"142",0,0,1,0,0.457142857142857
"143",2,4,1,0,1
"144",0,0,1,0,2.42857142857143
"145",0,1,1,0,1.42857142857143
"146",0,0,1,0,1
"147",0,0,1,0,1
"148",3,10.5,1,0,1.14285714285714
"149",1,0,1,0,1
"150",20,3,1,0,1.14285714285714
"151",0,0,1,0,1
"152",0,0,1,0,1
"153",0,0,1,0,1
"154",0,3.75,1,0,0.8
"155",0,0,1,0,1.14285714285714
"156",0,0,1,0,1
"157",0,0,0,0,0.8
"158",0,0.88,0,0,1.57142857142857
"159",0,2,1,0,1
"160",53,81,1,0,1.14285714285714
"161",69,31,1,0,2.28571428571429
"162",15,10,1,0,1
"163",0,10.23,1,0,0.571428571428571
"164",2,0,0,0,0.8
"165",4,13,1,0,0.857142857142857
"166",6,1,1,0,0.8
"167",8,33.25,1,0,0.857142857142857
"168",0,0,0,0,2.28571428571429
"169",0,53,0,0,0.8
"170",0,5,1,0,1
"171",18,157,1,0,0.857142857142857
"172",38,23.33,1,0,1
"173",0,6,1,0,1.02857142857143
"174",2,10,1,0,0.6
"175",18,100,1,0,0.857142857142857
"176",34,55,1,0,1
"177",1,0,1,0,0.8
"178",109,16.25,1,0,1
"179",5,7.78,1,0,1.48571428571429
"180",15,53,1,0,1
"181",0,2,1,0,1
"182",64,73,1,0,1
"183",0,0,1,0,0.8
"184",1,0,1,0,0.8
"185",0,0,1,0,1
"186",1,3.18,1,0,1
"187",3,5,0,0,0.857142857142857
"188",5,3,0,0,0.8
"189",7,0,0,0,1
"190",18,10,0,0,0.8
"191",1,1,0,0,1
"192",0,0,1,0,1
"193",0,1,1,0,0.8
"194",3,12,1,0,1
"195",3,17,1,0,1
"196",0,16,1,0,1
"197",19,2.5,1,0,1.42857142857143
"198",0,0,1,0,1.71428571428571
"199",8,21.88,1,0,0.771428571428571
"200",26,173,1,0,0.8
"201",50,111,1,0,1
"202",15,35,1,0,1.85714285714286
"203",0,0,1,0,1
"204",19,3,1,0,1
"205",5,2.1,1,0,1
"206",17,0,1,0,1
"207",121,49,1,0,1
"208",1,1.25,1,0,1
"209",0,1,1,0,0.8
"210",0,1,1,0,1
"211",0,0,1,0,1
"212",0,0,1,0,2.28571428571429
"213",4,54,1,0,0.8
"214",1,4.2,1,0,1.42857142857143
"215",14,51.25,1,0,1.02857142857143
"216",1,30,1,0,1.71428571428571
"217",25,196,0,0,1.14285714285714
"218",0,0,0,0,1.14285714285714
"219",14,2,0,0,1
"220",0,1.5,0,0,1
"221",59,96.25,0,0,1.14285714285714
"222",243,241.5,0,0,0.8
"223",80,140,0,0,1.42857142857143
"224",69,18,0,0,0.914285714285714
"225",14,3,0,0,1.14285714285714
"226",9,0.54,0,0,1.28571428571429
"227",38,82,0,0,0.6
"228",37,19,0,0,1
"229",48,18.75,0,0,0.8
"230",293,51,0,0,1.14285714285714
"231",7,0,0,0,1
"232",10,1,0,0,1.42857142857143
"233",19,0,0,0,1
"234",24,5.44,0,0,1
"235",91,0,0,0,1
"236",1,3,0,1,1
"237",0,0,0,1,1
"238",0,0,0,1,1
"239",0,0,0,1,1
"240",0,0,0,1,1
"241",148,28.75,0,1,1.14285714285714
"242",3,0,0,1,0.857142857142857
"243",26,3,0,1,1
"244",12,2,0,1,1
"245",77,135,0,1,1
"246",0,0,0,1,1
"247",7,68.25,0,1,1
"248",0,1,0,1,1
"249",1,0,0,1,1
"250",0,0,0,1,0.6
"251",17,0,0,1,1.02857142857143
"252",0,1,0,1,1
"253",7,1,0,1,1
"254",11,2.5,0,1,0.685714285714286
"255",6,51.25,0,1,0.8
"256",50,13.13,0,1,1
"257",1,0,0,1,0.8
"258",0,0,0,1,1.48571428571429
"259",0,0,0,1,1
"260",0,0,0,1,1
"261",171,0,0,1,1
"262",8,0,0,1,1
