"org" "year" "survey" "bush" "state" "edu" "age" "female" "black" "weight"
"11398" "cbsnyt" 7 "9158" 1 41 4 2 1 0 548
"11399" "cbsnyt" 7 "9158" 1 19 2 3 0 0 1574
"11400" "cbsnyt" 7 "9158" 0 14 2 2 1 0 804
"11401" "cbsnyt" 7 "9158" NA 10 2 4 1 0 880
"11402" "cbsnyt" 7 "9158" 0 47 4 2 1 0 274
"11403" "cbsnyt" 7 "9158" 0 37 1 3 1 0 1056
"11404" "cbsnyt" 7 "9158" 0 22 4 1 1 0 664
"11405" "cbsnyt" 7 "9158" 1 31 1 3 1 0 1075
"11406" "cbsnyt" 7 "9158" 0 11 3 2 1 0 595
"11407" "cbsnyt" 7 "9158" 1 36 3 1 0 0 1169
"11408" "cbsnyt" 7 "9158" 1 24 2 2 0 0 510
"11409" "cbsnyt" 7 "9158" 1 19 2 2 1 0 790
"11410" "cbsnyt" 7 "9158" 1 7 3 2 0 0 768
"11411" "cbsnyt" 7 "9158" 1 25 4 1 0 0 826
"11412" "cbsnyt" 7 "9158" 0 9 4 2 1 1 809
"11413" "cbsnyt" 7 "9158" 0 47 1 4 1 0 1042
"11414" "cbsnyt" 7 "9158" 0 17 1 4 0 0 1344
"11415" "cbsnyt" 7 "9158" 0 26 2 2 1 0 402
"11416" "cbsnyt" 7 "9158" 0 49 2 2 1 0 790
"11417" "cbsnyt" 7 "9158" 1 14 4 2 0 0 707
"11418" "cbsnyt" 7 "9158" 0 18 3 2 1 0 595
"11419" "cbsnyt" 7 "9158" 0 21 4 2 1 0 274
"11420" "cbsnyt" 7 "9158" NA 50 4 2 1 0 558
"11421" "cbsnyt" 7 "9158" 1 37 4 3 1 0 342
"11422" "cbsnyt" 7 "9158" 1 41 2 1 0 1 4446
"11423" "cbsnyt" 7 "9158" 1 11 3 1 1 0 906
"11424" "cbsnyt" 7 "9158" 1 43 3 2 1 0 595
"11425" "cbsnyt" 7 "9158" 0 14 4 3 0 0 221
"11426" "cbsnyt" 7 "9158" 1 33 2 1 0 0 2132
"11427" "cbsnyt" 7 "9158" 1 25 2 1 0 0 698
"11428" "cbsnyt" 7 "9158" 1 49 3 2 1 0 595
"11429" "cbsnyt" 7 "9158" 1 19 4 2 1 0 548
"11430" "cbsnyt" 7 "9158" 1 25 2 3 1 0 827
"11431" "cbsnyt" 7 "9158" NA 47 2 3 1 0 827
"11432" "cbsnyt" 7 "9158" NA 41 1 3 1 0 1056
"11433" "cbsnyt" 7 "9158" 1 44 4 2 0 0 695
"11434" "cbsnyt" 7 "9158" 1 43 1 3 0 0 4017
"11435" "cbsnyt" 7 "9158" 1 47 3 2 0 0 755
"11436" "cbsnyt" 7 "9158" 0 14 2 2 0 0 1020
"11437" "cbsnyt" 7 "9158" NA 26 1 3 0 0 1362
"11438" "cbsnyt" 7 "9158" 1 19 2 4 1 0 440
"11439" "cbsnyt" 7 "9158" 1 17 1 1 0 0 2130
"11440" "cbsnyt" 7 "9158" 1 34 1 3 1 0 2111
"11441" "cbsnyt" 7 "9158" 1 11 2 3 0 0 525
"11442" "cbsnyt" 7 "9158" 1 44 4 1 1 0 977
"11443" "cbsnyt" 7 "9158" 1 24 4 1 0 0 841
"11444" "cbsnyt" 7 "9158" 1 10 2 1 1 1 2436
"11445" "cbsnyt" 7 "9158" 0 10 4 4 1 0 623
"11446" "cbsnyt" 7 "9158" 1 14 2 1 1 0 1120
"11447" "cbsnyt" 7 "9158" 0 36 3 1 0 0 1169
"11448" "cbsnyt" 7 "9158" 0 41 2 1 0 0 2094
"11449" "cbsnyt" 7 "9158" 0 11 1 3 0 0 2678
"11450" "cbsnyt" 7 "9158" 0 44 3 3 1 1 249
"11451" "cbsnyt" 7 "9158" 0 11 2 1 1 0 1101
"11452" "cbsnyt" 7 "9158" 1 10 3 2 0 0 755
"11453" "cbsnyt" 7 "9158" 0 44 4 2 0 0 348
"11454" "cbsnyt" 7 "9158" 0 14 4 2 1 0 418
"11455" "cbsnyt" 7 "9158" 0 50 3 3 0 0 872
"11456" "cbsnyt" 7 "9158" 0 44 2 4 1 1 649
"11457" "cbsnyt" 7 "9158" 0 21 2 2 0 0 1003
"11458" "cbsnyt" 7 "9158" 1 21 4 3 0 0 868
"11459" "cbsnyt" 7 "9158" 0 43 2 4 1 0 440
"11460" "cbsnyt" 7 "9158" 0 18 2 1 1 0 1101
"11461" "cbsnyt" 7 "9158" 0 23 2 1 0 0 1420
"11462" "cbsnyt" 7 "9158" 1 26 2 2 1 0 1206
"11463" "cbsnyt" 7 "9158" 1 47 1 2 0 0 2294
"11464" "cbsnyt" 7 "9158" 1 19 3 2 1 0 446
"11465" "cbsnyt" 7 "9158" NA 24 2 1 1 0 1120
"11466" "cbsnyt" 7 "9158" 0 10 2 1 0 0 1396
"11467" "cbsnyt" 7 "9158" 1 34 4 3 0 0 868
"11468" "cbsnyt" 7 "9158" 1 44 2 3 1 0 827
"11469" "cbsnyt" 7 "9158" 0 10 2 2 0 1 1597
"11470" "cbsnyt" 7 "9158" 1 15 4 3 1 0 1392
"11471" "cbsnyt" 7 "9158" NA 4 2 4 0 0 558
"11472" "cbsnyt" 7 "9158" 1 25 3 1 0 0 1724
"11473" "cbsnyt" 7 "9158" 0 23 2 4 1 0 448
"11474" "cbsnyt" 7 "9158" 0 44 3 1 1 0 906
"11475" "cbsnyt" 7 "9158" 1 34 2 2 1 0 790
"11476" "cbsnyt" 7 "9158" 1 34 1 1 1 0 550
"11477" "cbsnyt" 7 "9158" 1 44 1 4 1 0 1042
"11478" "cbsnyt" 7 "9158" 1 47 3 1 1 0 906
"11479" "cbsnyt" 7 "9158" 1 49 1 3 1 0 2111
"11480" "cbsnyt" 7 "9158" 1 18 1 2 0 0 2294
"11481" "cbsnyt" 7 "9158" 1 10 1 2 0 0 1147
"11482" "cbsnyt" 7 "9158" 0 23 2 2 1 1 1187
"11483" "cbsnyt" 7 "9158" 0 10 2 2 0 0 501
"11484" "cbsnyt" 7 "9158" 0 24 1 4 0 0 5376
"11485" "cbsnyt" 7 "9158" 0 44 1 1 0 0 698
"11486" "cbsnyt" 7 "9158" 1 14 4 3 1 0 348
"11487" "cbsnyt" 7 "9158" 0 49 2 2 1 0 790
"11488" "cbsnyt" 7 "9158" NA 24 2 4 1 0 448
"11489" "cbsnyt" 7 "9158" 0 10 2 2 0 1 798
"11490" "cbsnyt" 7 "9158" 1 43 2 4 1 0 880
"11491" "cbsnyt" 7 "9158" 1 3 3 2 1 0 996
"11492" "cbsnyt" 7 "9158" 0 13 4 2 1 0 612
"11493" "cbsnyt" 7 "9158" 0 44 4 3 1 0 684
"11494" "cbsnyt" 7 "9158" 1 14 4 4 1 0 634
"11495" "cbsnyt" 7 "9158" 1 44 4 4 1 0 623
"11496" "cbsnyt" 7 "9158" 1 36 2 2 1 0 804
"11497" "cbsnyt" 7 "9158" 1 25 4 2 1 0 548
"11498" "cbsnyt" 7 "9158" 1 49 1 4 1 0 2083
"11499" "cbsnyt" 7 "9158" 0 47 4 3 1 0 684
"11500" "cbsnyt" 7 "9158" 1 48 2 2 1 0 882
"11501" "cbsnyt" 7 "9158" 1 10 4 3 0 0 434
"11502" "cbsnyt" 7 "9158" 0 16 4 1 1 0 331
"11503" "cbsnyt" 7 "9158" 0 41 3 1 0 0 1724
"11504" "cbsnyt" 7 "9158" 1 44 4 4 0 0 790
"11505" "cbsnyt" 7 "9158" 1 36 3 1 0 0 1169
"11506" "cbsnyt" 7 "9158" 1 24 3 1 1 0 922
"11507" "cbsnyt" 7 "9158" 1 48 1 3 1 0 2357
"11508" "cbsnyt" 7 "9158" 1 36 3 1 1 0 922
"11509" "cbsnyt" 7 "9158" 1 14 3 3 1 0 1032
"11510" "cbsnyt" 7 "9158" 1 10 3 1 0 0 1724
"11511" "cbsnyt" 7 "9158" 1 28 1 4 1 0 2119
"11512" "cbsnyt" 7 "9158" 1 5 4 2 0 0 388
"11513" "cbsnyt" 7 "9158" 0 24 2 3 0 0 1601
"11514" "cbsnyt" 7 "9158" 0 8 2 2 0 0 501
"11515" "cbsnyt" 7 "9158" 0 5 3 2 1 0 1328
"11516" "cbsnyt" 7 "9158" 0 23 2 2 1 0 804
"11517" "cbsnyt" 7 "9158" 0 28 2 1 1 0 1679
"11518" "cbsnyt" 7 "9158" 1 35 4 2 0 0 707
"11519" "cbsnyt" 7 "9158" 0 5 3 1 1 0 1012
"11520" "cbsnyt" 7 "9158" 0 3 1 3 1 0 2357
"11521" "cbsnyt" 7 "9158" 1 10 4 2 0 0 695
"11522" "cbsnyt" 7 "9158" 1 48 2 1 0 0 1558
"11523" "cbsnyt" 7 "9158" 1 28 4 1 1 0 1326
"11524" "cbsnyt" 7 "9158" 1 44 4 3 0 0 651
"11525" "cbsnyt" 7 "9158" 0 23 3 1 0 0 1169
"11526" "cbsnyt" 7 "9158" 1 14 2 1 1 0 1120
"11527" "cbsnyt" 7 "9158" 0 26 2 2 1 0 402
"11528" "cbsnyt" 7 "9158" 1 23 4 1 1 0 994
"11529" "cbsnyt" 7 "9158" 0 18 2 3 1 0 414
"11530" "cbsnyt" 7 "9158" 1 17 2 2 1 0 804
"11531" "cbsnyt" 7 "9158" 0 14 3 2 1 1 1339
"11532" "cbsnyt" 7 "9158" 0 23 4 3 1 0 348
"11533" "cbsnyt" 7 "9158" 1 5 2 3 0 0 586
"11534" "cbsnyt" 7 "9158" 0 14 2 1 0 0 1420
"11535" "cbsnyt" 7 "9158" 0 5 2 3 1 0 924
"11536" "cbsnyt" 7 "9158" 0 5 3 2 1 0 332
"11537" "cbsnyt" 7 "9158" 0 14 3 3 1 0 2063
"11538" "cbsnyt" 7 "9158" 1 5 3 4 0 0 1003
"11539" "cbsnyt" 7 "9158" 0 32 4 3 1 0 382
"11540" "cbsnyt" 7 "9158" NA 24 2 4 1 0 895
"11541" "cbsnyt" 7 "9158" 1 36 3 2 1 0 605
"11542" "cbsnyt" 7 "9158" 0 5 3 3 1 0 377
"11543" "cbsnyt" 7 "9158" 0 48 2 4 1 0 491
"11544" "cbsnyt" 7 "9158" NA 50 2 1 1 0 1120
"11545" "cbsnyt" 7 "9158" NA 5 4 2 0 0 388
"11546" "cbsnyt" 7 "9158" 0 17 4 2 0 0 354
"11547" "cbsnyt" 7 "9158" 0 48 3 1 1 0 1012
"11548" "cbsnyt" 7 "9158" 1 48 3 3 1 0 755
"11549" "cbsnyt" 7 "9158" 0 5 4 2 0 0 776
"11550" "cbsnyt" 7 "9158" 1 5 3 3 0 0 718
"11551" "cbsnyt" 7 "9158" 1 5 2 1 0 0 1558
"11552" "cbsnyt" 7 "9158" 0 32 3 2 1 0 332
"11553" "cbsnyt" 7 "9158" 0 38 4 2 0 0 776
"11554" "cbsnyt" 7 "9158" 0 36 2 3 1 0 842
"11555" "cbsnyt" 7 "9158" 1 5 4 2 0 0 776
"11556" "cbsnyt" 7 "9158" 1 50 3 2 0 0 768
"11557" "cbsnyt" 7 "9158" 0 5 2 4 0 0 1246
"11558" "cbsnyt" 7 "9158" 1 32 2 3 0 0 1171
"11559" "cbsnyt" 7 "9158" 1 5 2 4 1 0 983
"11560" "cbsnyt" 7 "9158" 1 48 3 4 1 0 396
"11561" "cbsnyt" 7 "9158" 0 5 3 2 0 0 842
"11562" "cbsnyt" 7 "9158" 1 5 4 3 0 0 727
"11563" "cbsnyt" 7 "9158" 1 45 4 3 0 0 1454
"11564" "cbsnyt" 7 "9158" 1 45 3 1 1 0 1012
"11565" "cbsnyt" 7 "9158" 1 5 2 3 1 0 2309
"11566" "cbsnyt" 7 "9158" 1 44 4 2 1 1 809
"11567" "cbsnyt" 7 "9158" 1 5 3 2 1 0 664
"11568" "cbsnyt" 7 "9158" 0 22 4 2 0 0 1062
"11569" "cbsnyt" 7 "9158" 0 31 2 2 0 0 511
"11570" "cbsnyt" 7 "9158" 0 31 4 1 1 0 1659
"11571" "cbsnyt" 7 "9158" 1 43 3 2 1 0 297
"11572" "cbsnyt" 7 "9158" 1 10 4 2 0 0 348
"11573" "cbsnyt" 7 "9158" 0 5 2 3 1 0 462
"11574" "cbsnyt" 7 "9158" 0 36 3 4 1 0 721
"11575" "cbsnyt" 7 "9158" 1 5 2 2 1 0 882
"11576" "cbsnyt" 7 "9158" 1 33 1 1 0 0 1422
"11577" "cbsnyt" 7 "9158" 1 36 2 1 0 0 1420
"11578" "cbsnyt" 7 "9158" 1 5 3 2 1 0 664
"11579" "cbsnyt" 7 "9158" 0 14 4 1 0 1 669
"11580" "cbsnyt" 7 "9158" 0 41 2 1 0 0 1396
"11581" "cbsnyt" 7 "9158" 0 48 3 3 1 0 377
"11582" "cbsnyt" 7 "9158" 1 5 4 2 0 0 776
"11583" "cbsnyt" 7 "9158" 1 23 4 3 1 0 348
"11584" "cbsnyt" 7 "9158" 0 33 4 1 0 0 842
"11585" "cbsnyt" 7 "9158" 1 50 4 2 1 0 558
"11586" "cbsnyt" 7 "9158" 0 36 2 2 1 0 804
"11587" "cbsnyt" 7 "9158" 0 36 2 1 1 0 1120
"11588" "cbsnyt" 7 "9158" 0 33 4 3 0 0 884
"11589" "cbsnyt" 7 "9158" 1 47 3 3 1 0 676
"11590" "cbsnyt" 7 "9158" 0 40 3 2 1 0 606
"11591" "cbsnyt" 7 "9158" 1 14 4 2 1 0 279
"11592" "cbsnyt" 7 "9158" 1 36 2 1 1 0 1120
"11593" "cbsnyt" 7 "9158" 1 5 2 2 0 0 1119
"11594" "cbsnyt" 7 "9158" 0 22 4 3 1 0 1045
"11595" "cbsnyt" 7 "9158" 1 5 2 1 1 0 1229
"11596" "cbsnyt" 7 "9158" 1 38 2 2 0 0 1679
"11597" "cbsnyt" 7 "9158" NA 11 3 2 0 0 755
"11598" "cbsnyt" 7 "9158" 0 40 1 4 1 0 1061
"11599" "cbsnyt" 7 "9158" 1 3 2 3 0 0 1171
"11600" "cbsnyt" 7 "9158" 1 50 4 1 1 0 663
"11601" "cbsnyt" 7 "9158" NA 24 2 4 1 0 448
"11602" "cbsnyt" 7 "9158" 1 45 4 2 0 0 776
"11603" "cbsnyt" 7 "9158" 1 24 2 1 0 0 1420
"11604" "cbsnyt" 7 "9158" 1 36 2 4 0 0 1136
"11605" "cbsnyt" 7 "9158" 0 16 2 3 1 0 842
"11606" "cbsnyt" 7 "9158" 0 20 4 1 0 0 421
"11607" "cbsnyt" 7 "9158" 0 44 4 1 0 0 1653
"11608" "cbsnyt" 7 "9158" 1 32 3 2 1 0 332
"11609" "cbsnyt" 7 "9158" 1 50 2 2 1 0 402
"11610" "cbsnyt" 7 "9158" 0 3 2 3 1 0 1385
"11611" "cbsnyt" 7 "9158" 0 23 2 3 1 0 421
"11612" "cbsnyt" 7 "9158" 0 24 3 2 1 0 605
"11613" "cbsnyt" 7 "9158" NA 5 3 1 0 0 642
"11614" "cbsnyt" 7 "9158" 1 22 4 3 0 0 884
"11615" "cbsnyt" 7 "9158" 1 6 3 2 1 0 664
"11616" "cbsnyt" 7 "9158" 1 31 4 2 1 0 837
"11617" "cbsnyt" 7 "9158" 1 47 3 1 0 0 1150
"11618" "cbsnyt" 7 "9158" 1 24 3 1 1 0 461
"11619" "cbsnyt" 7 "9158" 1 21 3 1 1 0 906
"11620" "cbsnyt" 7 "9158" 1 49 2 3 0 0 1049
"11621" "cbsnyt" 7 "9158" 1 23 2 2 0 0 1020
"11622" "cbsnyt" 7 "9158" 0 6 4 2 1 0 612
"11623" "cbsnyt" 7 "9158" 0 31 2 3 1 0 843
"11624" "cbsnyt" 7 "9158" 1 48 3 1 1 0 506
"11625" "cbsnyt" 7 "9158" 1 17 3 1 1 0 461
"11626" "cbsnyt" 7 "9158" 1 37 3 1 0 0 575
"11627" "cbsnyt" 7 "9158" 1 36 2 3 1 0 421
"11628" "cbsnyt" 7 "9158" 1 36 4 3 1 0 1044
"11629" "cbsnyt" 7 "9158" 0 5 4 2 0 0 388
"11630" "cbsnyt" 7 "9158" 0 33 4 2 0 1 564
"11631" "cbsnyt" 7 "9158" 0 43 3 1 0 1 1831
"11632" "cbsnyt" 7 "9158" 0 19 2 1 0 1 2223
"11633" "cbsnyt" 7 "9158" 0 26 4 1 0 0 420
"11634" "cbsnyt" 7 "9158" 1 43 2 3 0 0 1049
"11635" "cbsnyt" 7 "9158" 0 19 3 2 0 1 1202
"11636" "cbsnyt" 7 "9158" 1 31 3 1 0 0 1171
"11637" "cbsnyt" 7 "9158" 0 10 2 4 1 0 440
"11638" "cbsnyt" 7 "9158" 1 39 4 3 0 0 884
"11639" "cbsnyt" 7 "9158" 0 43 4 2 1 0 548
"11640" "cbsnyt" 7 "9158" 1 22 2 1 1 0 1121
"11641" "cbsnyt" 7 "9158" 0 23 4 2 1 0 558
"11642" "cbsnyt" 7 "9158" 1 11 2 3 1 0 1655
"11643" "cbsnyt" 7 "9158" 0 14 1 3 1 0 2148
"11644" "cbsnyt" 7 "9158" 1 41 2 1 0 1 1112
"11645" "cbsnyt" 7 "9158" 1 34 3 3 1 0 507
"11646" "cbsnyt" 7 "9158" 0 14 2 1 0 0 1420
"11647" "cbsnyt" 7 "9158" 0 49 3 2 0 0 377
"11648" "cbsnyt" 7 "9158" 0 10 1 1 0 0 1396
"11649" "cbsnyt" 7 "9158" 0 23 4 3 0 0 442
"11650" "cbsnyt" 7 "9158" 0 22 2 2 1 0 1208
"11651" "cbsnyt" 7 "9158" 0 50 4 1 0 0 841
"11652" "cbsnyt" 7 "9158" 0 33 2 2 0 0 1021
"11653" "cbsnyt" 7 "9158" 0 43 2 3 1 0 1241
"11654" "cbsnyt" 7 "9158" 0 4 2 4 0 0 1116
"11655" "cbsnyt" 7 "9158" 1 36 2 2 1 0 402
"11656" "cbsnyt" 7 "9158" 0 11 1 3 1 1 4673
"11657" "cbsnyt" 7 "9158" 0 23 2 2 1 0 804
"11658" "cbsnyt" 7 "9158" 1 10 3 3 1 0 169
"11659" "cbsnyt" 7 "9158" 0 22 3 1 1 0 1846
"11660" "cbsnyt" 7 "9158" 0 39 4 4 1 0 634
"11661" "cbsnyt" 7 "9158" 1 22 3 4 0 0 229
"11662" "cbsnyt" 7 "9158" 1 37 3 1 0 0 575
"11663" "cbsnyt" 7 "9158" 1 14 3 2 1 0 605
"11664" "cbsnyt" 7 "9158" 0 14 2 4 0 0 1136
"11665" "cbsnyt" 7 "9158" 0 24 3 1 1 0 461
"11666" "cbsnyt" 7 "9158" 0 39 2 2 0 0 1021
"11667" "cbsnyt" 7 "9158" 1 23 3 3 0 0 872
"11668" "cbsnyt" 7 "9158" 0 10 3 3 0 0 1286
"11669" "cbsnyt" 7 "9158" 1 11 4 2 1 0 548
"11670" "cbsnyt" 7 "9158" 0 23 3 2 0 0 768
"11671" "cbsnyt" 7 "9158" 0 39 2 1 1 0 1121
"11672" "cbsnyt" 7 "9158" 0 11 2 2 1 0 790
"11673" "cbsnyt" 7 "9158" 0 22 4 2 0 0 708
"11674" "cbsnyt" 7 "9158" 0 47 2 1 0 0 1396
"11675" "cbsnyt" 7 "9158" 0 22 2 1 0 0 1422
"11676" "cbsnyt" 7 "9158" 0 33 2 1 1 0 1121
"11677" "cbsnyt" 7 "9158" 0 14 1 1 0 0 2130
"11678" "cbsnyt" 7 "9158" 0 26 2 3 1 0 842
"11679" "cbsnyt" 7 "9158" 1 28 3 3 1 0 688
"11680" "cbsnyt" 7 "9158" 1 23 2 1 0 0 2130
"11681" "cbsnyt" 7 "9158" 1 31 4 2 0 0 1416
"11682" "cbsnyt" 7 "9158" 1 42 3 2 1 0 303
"11683" "cbsnyt" 7 "9158" 0 31 2 4 0 0 1137
"11684" "cbsnyt" 7 "9158" 1 44 1 4 1 0 2083
"11685" "cbsnyt" 7 "9158" 1 34 3 2 0 1 1202
"11686" "cbsnyt" 7 "9158" 1 11 3 1 0 0 1724
"11687" "cbsnyt" 7 "9158" 0 14 2 2 0 0 1020
"11688" "cbsnyt" 7 "9158" 0 33 2 1 0 1 3396
"11689" "cbsnyt" 7 "9158" 1 43 4 4 1 0 311
"11690" "cbsnyt" 7 "9158" 1 15 1 4 1 0 1060
"11691" "cbsnyt" 7 "9158" 0 15 3 2 1 0 605
"11692" "cbsnyt" 7 "9158" 0 31 2 4 0 0 1705
"11693" "cbsnyt" 7 "9158" 0 22 4 2 1 0 279
"11694" "cbsnyt" 7 "9158" 1 26 2 3 1 0 842
"11695" "cbsnyt" 7 "9158" 1 1 1 2 1 1 4002
"11696" "cbsnyt" 7 "9158" 1 49 2 2 0 0 501
"11697" "cbsnyt" 7 "9158" 0 14 2 3 1 0 421
"11698" "cbsnyt" 7 "9158" 1 33 2 1 1 0 1121
"11699" "cbsnyt" 7 "9158" 0 33 2 4 0 0 1137
"11700" "cbsnyt" 7 "9158" 1 31 4 2 0 0 354
"11701" "cbsnyt" 7 "9158" 0 47 4 2 0 0 348
"11702" "cbsnyt" 7 "9158" 1 36 3 3 0 0 872
"11703" "cbsnyt" 7 "9158" 1 33 1 3 0 0 2727
"11704" "cbsnyt" 7 "9158" 0 33 3 2 1 0 606
"11705" "cbsnyt" 7 "9158" 0 30 2 2 0 0 1021
"11706" "cbsnyt" 7 "9158" 0 22 2 1 1 0 1121
"11707" "cbsnyt" 7 "9158" 1 44 4 3 1 0 684
"11708" "cbsnyt" 7 "9158" NA 1 4 2 0 0 695
"11709" "cbsnyt" 7 "9158" NA 33 1 4 0 0 1346
"11710" "cbsnyt" 7 "9158" 1 25 3 2 0 0 755
"11711" "cbsnyt" 7 "9158" 1 33 4 2 1 0 279
"11712" "cbsnyt" 7 "9158" 1 23 2 3 1 0 842
"11713" "cbsnyt" 7 "9158" 0 23 2 3 1 0 842
"11714" "cbsnyt" 7 "9158" 1 41 4 3 0 0 868
"11715" "cbsnyt" 7 "9158" 1 24 3 3 1 0 688
"11716" "cbsnyt" 7 "9158" 1 40 2 2 0 0 511
"11717" "cbsnyt" 7 "9158" 0 44 2 3 1 0 621
"11718" "cbsnyt" 7 "9158" 0 22 2 2 0 0 1021
"11719" "cbsnyt" 7 "9158" 0 24 1 4 1 0 1060
"11720" "cbsnyt" 7 "9158" 1 46 2 2 0 0 1532
"11721" "cbsnyt" 7 "9158" 0 31 3 2 1 0 303
"11722" "cbsnyt" 7 "9158" 0 33 3 2 1 0 303
"11723" "cbsnyt" 7 "9158" 1 44 2 1 0 0 1396
"11724" "cbsnyt" 7 "9158" 1 36 3 2 0 0 768
"11725" "cbsnyt" 7 "9158" 0 34 2 3 1 0 827
"11726" "cbsnyt" 7 "9158" 1 41 4 2 1 0 274
"11727" "cbsnyt" 7 "9158" 0 19 2 2 1 0 1186
"11728" "cbsnyt" 7 "9158" 1 31 4 1 0 0 421
"11729" "cbsnyt" 7 "9158" 1 19 2 1 1 0 1101
"11730" "cbsnyt" 7 "9158" 1 47 2 1 1 1 1624
"11731" "cbsnyt" 7 "9158" NA 23 4 2 0 0 354
"11732" "cbsnyt" 7 "9158" 1 31 2 2 1 0 1208
"11733" "cbsnyt" 7 "9158" 0 40 4 2 1 0 279
"11734" "cbsnyt" 7 "9158" 1 41 2 3 0 0 1049
"11735" "cbsnyt" 7 "9158" 1 10 4 1 0 0 826
"11736" "cbsnyt" 7 "9158" 0 14 4 1 1 1 1956
"11737" "cbsnyt" 7 "9158" 0 22 2 3 1 0 421
"11738" "cbsnyt" 7 "9158" 0 31 4 3 0 0 442
"11739" "cbsnyt" 7 "9158" 0 10 2 3 0 0 1049
"11740" "cbsnyt" 7 "9158" 1 44 3 3 1 0 338
"11741" "cbsnyt" 7 "9158" 1 39 2 1 1 0 1121
"11742" "cbsnyt" 7 "9158" 1 49 1 1 1 0 1101
"11743" "cbsnyt" 7 "9158" 1 11 2 2 1 0 790
"11744" "cbsnyt" 7 "9158" 0 33 4 3 0 0 1326
"11745" "cbsnyt" 7 "9158" 0 10 3 1 0 0 575
"11746" "cbsnyt" 7 "9158" 1 11 3 2 1 0 892
"11747" "cbsnyt" 7 "9158" 1 34 2 2 0 0 1003
"11748" "cbsnyt" 7 "9158" 1 34 1 4 0 0 2642
"11749" "cbsnyt" 7 "9158" 1 26 3 2 0 0 768
"11750" "cbsnyt" 7 "9158" 1 23 2 3 1 0 842
"11751" "cbsnyt" 7 "9158" 1 33 4 2 0 0 354
"11752" "cbsnyt" 7 "9158" 1 21 3 1 1 0 1360
"11753" "cbsnyt" 7 "9158" 1 47 4 1 0 0 826
"11754" "cbsnyt" 7 "9158" 1 11 4 3 1 0 684
"11755" "cbsnyt" 7 "9158" NA 10 4 2 0 0 1390
"11756" "cbsnyt" 7 "9158" 1 47 2 2 1 0 790
